#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6679.958080677919    All      0.9602906203344359        -0.020242021125405074      0.4413831595509613        -0.2996948366779672        
Zeropoint     AB|SDSS|SDSS_u            3205.86098027386     All      -0.09996762159333919      0.060634275179438646       0.06616074492090844       0.055265771604867196       
Zeropoint     AB|SDSS|SDSS_r            5508.449733375568    All      0.7106685066329094        0.3260859234345048         -0.5421721422335424       -0.1494658523401954        
Zeropoint     AB|SDSS|SDSS_g            4215.53935795147     All      -0.7241316647995305       0.6455050512087723         -0.04681039491094278      0.4440468051809458         
Zeropoint     AB|SDSS|SDSS_z            7941.913325620675    All      0.14566139424703672       -0.011412227450335877      0.0846629697249684        -0.047385926659626036      
Check         All|All|All               All                  All      0.9925212348215126        1.0005710012469748         0.003224337052352949      0.0027659611080243576      
Lambda        AB|SDSS|SDSS_i            6679.958080677919    All      -0.0004365534208987104    -1.3179381144428043e-05    -0.0005422141795929736    0.00011371032480457491     
Lambda        AB|SDSS|SDSS_u            3205.86098027386     All      -6.768927478671275e-05    4.099264886700724e-05      4.3561917871831036e-05    3.734524638506868e-05      
Lambda        AB|SDSS|SDSS_r            5508.449733375568    All      0.00011891022610765442    3.006072085479396e-05      -0.001078452272114515     -7.706757867509741e-05     
Lambda        AB|SDSS|SDSS_g            4215.53935795147     All      -0.000555981152165433     0.00032946982734455055     -0.0008124909092065347    0.0002521627768562503      
Lambda        AB|SDSS|SDSS_z            7941.913325620675    All      6.964100610736374e-06     4.873213192005905e-07      2.203168424703564e-05     -1.1265272148833554e-06    
MWEBV         All|All|All               All                  All      -0.7802480886435528       -3.4798400634494797        0.12811838167213946       -0.8736285851846397        
Redshift      All|All|All               All                  All      2.010746642678452         -0.04834047008621667       -1.9470768815463773       -0.757601513204079         
