#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6679.958080677919    All      1.086198387145872          -0.040118659995869166      0.6259214668155266         -0.33894651667362025      
Zeropoint     AB|SDSS|SDSS_u            3205.86098027386     All      -0.05918228704463798       0.03137850059680147        0.0037440540896382934      0.02966570783443645       
Zeropoint     AB|SDSS|SDSS_r            5508.449733375568    All      0.6022440057439212         0.3197882862350454         -0.7395145473395259        -0.1250062581414954       
Zeropoint     AB|SDSS|SDSS_g            4215.53935795147     All      -0.7933082278139694        0.7004672519549615         -0.058567470590720205      0.48395822029250884       
Zeropoint     AB|SDSS|SDSS_z            7941.913325620675    All      0.1475514264858961         -0.014345268755278084      0.11830915577224488        -0.04745548563530183      
Check         All|All|All               All                  All      0.9835033045170822         0.9971701100356611         -0.050107341252836335      0.0022156676765278105     
Lambda        AB|SDSS|SDSS_i            6679.958080677919    All      -0.00038580504686745384    -1.5932334623287287e-06    -0.0004713120027883323     0.00010411793779254839    
Lambda        AB|SDSS|SDSS_u            3205.86098027386     All      -5.944382635767634e-05     3.1917297315467886e-05     -2.9554394781399328e-06    2.962743598196712e-05     
Lambda        AB|SDSS|SDSS_r            5508.449733375568    All      9.683259293094012e-05      6.487585801684197e-05      -0.0012052599101278574     -6.419457413733376e-05    
Lambda        AB|SDSS|SDSS_g            4215.53935795147     All      -0.0006834650184083141     0.0004960604366103302      -0.0005826859125187335     0.000358207649838299      
Lambda        AB|SDSS|SDSS_z            7941.913325620675    All      1.1840196864368474e-05     -1.0982441728708255e-06    2.8357019064082598e-05     -2.949032386143317e-06    
MWEBV         All|All|All               All                  All      -0.7059175700149538        -3.521816108583664         0.08253988501252252        -0.9135474183459266       
Redshift      All|All|All               All                  All      1.4382943828571246         -0.5144137822284733        -2.398696944733303         -0.7431041193856874       
