#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7456.1614190596265    All      0.09314285706717389        -0.0006891489384486249    0.0268664254976847        -0.029365246160403813     
Zeropoint     AB|SDSS|SDSS_i            6271.391247926241     All      1.0652069513410343         -0.04735165999765201      -0.6223859656874137       -0.3901711689374143       
Zeropoint     AB|SDSS|SDSS_g            3957.703972906138     All      -1.211713172377089         0.5648774501148424        -0.5957332696624407       0.5521091741199274        
Zeropoint     AB|SDSS|SDSS_r            5171.535963295641     All      1.0510314227705078         0.4818858550038385        1.1901082081538061        -0.1322803723940058       
Check         All|All|All               All                   All      0.9976680588016267         0.9987224961825802        -0.001144601698363612     0.0002923866281034915     
Lambda        AB|SDSS|SDSS_z            7456.1614190596265    All      -1.5968935680994857e-05    -1.845722542968033e-07    -1.445858220748358e-05    4.496266340154008e-06     
Lambda        AB|SDSS|SDSS_i            6271.391247926241     All      -0.0003507607844548359     5.5444604994077845e-06    1.9542034838081557e-05    0.00011693241163747912    
Lambda        AB|SDSS|SDSS_g            3957.703972906138     All      -0.001061601402103781      0.0003032257724374661     -0.0016064953993023688    0.0003728786009240464     
Lambda        AB|SDSS|SDSS_r            5171.535963295641     All      0.00036578592831702046     0.00011984029313494712    0.00038593871354776585    -6.288991251662197e-05    
MWEBV         All|All|All               All                   All      -0.5762697700468813        -3.2435651529981513       0.10539195001601775       -0.8641226989573536       
Redshift      All|All|All               All                   All      5.323096163002555          0.2599055191520705        -6.746666877537838        -1.9503205231508696       
