#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4028.197427894288     All      -0.9216726718302459       0.5160351873508162         -0.7116997895869474        0.4365488560285506        
Zeropoint     AB|SDSS|SDSS_r            5263.649835415409     All      0.9261534644249914        0.4723597081788711         0.8426471674876714         -0.110212082833977        
Zeropoint     AB|SDSS|SDSS_u            3063.3899623229395    All      -0.0652225194720776       0.03974396787196355        0.11300546876469474        0.03923395327843789       
Zeropoint     AB|SDSS|SDSS_i            6383.095417736631     All      0.9781501845006987        -0.0253754585244792        -0.2650670730481402        -0.33871004300741797      
Zeropoint     AB|SDSS|SDSS_z            7588.96836545509      All      0.0756900880419053        -0.002244970351839015      0.02837971780462947        -0.024119556043814355     
Check         All|All|All               All                   All      0.9930985456652721        1.0005184345253326         0.007265491421908101       0.0027411274217791493     
Lambda        AB|SDSS|SDSS_g            4028.197427894288     All      -0.0008553938592491651    0.0003761306763944106      -0.0012345611161687262     0.00034605526473239747    
Lambda        AB|SDSS|SDSS_r            5263.649835415409     All      0.00026939970287767704    7.249450115437223e-05      -0.0008512393763967806     -0.0001021254059575452    
Lambda        AB|SDSS|SDSS_u            3063.3899623229395    All      -6.653580279084327e-05    4.11989881606234e-05       0.00012045836238170074     4.046826925008459e-05     
Lambda        AB|SDSS|SDSS_i            6383.095417736631     All      -0.0003010402204937363    -3.0956699001728346e-05    -0.0004208938824057311     6.919252755779244e-05     
Lambda        AB|SDSS|SDSS_z            7588.96836545509      All      -6.554211336567506e-06    -1.496204560318896e-08     -2.4777774171674694e-06    2.01947680287048e-06      
MWEBV         All|All|All               All                   All      -0.706103782491172        -3.267793201368363         0.26196421601122044        -0.8227362610044475       
Redshift      All|All|All               All                   All      5.910921552996896         -0.6697665203825309        -1.9955144179498112        -2.2325972471135347       
