#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4028.197427894288     All      -0.8617710423485918       0.5038224439630312         -0.5150955874878405       0.4218323748618205         
Zeropoint     AB|SDSS|SDSS_r            5263.649835415409     All      0.8188680273918412        0.5177467990925777         0.8549789870344382        -0.059931305236334         
Zeropoint     AB|SDSS|SDSS_u            3063.3899623229395    All      -0.08260687972704445      0.05370792605461361        0.13824712358566082       0.05057155104654515        
Zeropoint     AB|SDSS|SDSS_i            6383.095417736631     All      1.000888929572107         -0.06527896320100979       -0.47571669226179614      -0.36851500964592276       
Zeropoint     AB|SDSS|SDSS_z            7588.96836545509      All      0.11650100186498571       -0.00842120616333375       0.012020881613317158      -0.04015483623690391       
Check         All|All|All               All                   All      0.9918800367532976        1.001576999745879          0.014434712483779588      0.003802774789204988       
Lambda        AB|SDSS|SDSS_g            4028.197427894288     All      -0.0007993372455072773    0.00034819860604016676     -0.001036870712044849     0.00032751940195351785     
Lambda        AB|SDSS|SDSS_r            5263.649835415409     All      0.0002945269143958623     2.832056742153758e-05      -0.0012537744872369268    -0.00014266236212566246    
Lambda        AB|SDSS|SDSS_u            3063.3899623229395    All      -8.834176883651771e-05    4.872108755515581e-05      8.404889122111235e-05     4.83965975534091e-05       
Lambda        AB|SDSS|SDSS_i            6383.095417736631     All      -0.0003185804530560939    -3.3859436577136864e-05    -0.0005263393986769476    6.925489213687792e-05      
Lambda        AB|SDSS|SDSS_z            7588.96836545509      All      -1.062180528160098e-05    7.016746700961287e-07      -8.67414580286218e-06     3.301342663421821e-06      
MWEBV         All|All|All               All                   All      -0.7495207732165556       -3.2375203813376885        0.3039446735220219        -0.7968596703089955        
Redshift      All|All|All               All                   All      5.821715893817691         -0.49453333247484466       -1.5694200710493211       -2.1274461811160563        
