#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4713.0996213262815    All      -0.2977727414482786        0.4507927369611586        0.08238533016933891        0.24750888229401846       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3525.848104685801     All      -0.28207143683355373       0.1053257383812678        -0.04737949939157949       0.12407367550429159       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7459.2682427101845    All      0.35495483324050386        -0.03599730933538936      0.1090389543677683         -0.12248006704479121      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5270.4111251830345    All      0.6210447643054886         0.2063055470354236        -0.04090345186338178       -0.13691954077372911      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6100.886757225991     All      1.0776954156448542         -0.0357180876805252       0.0030603357352351336      -0.36253883952105936      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4314.419943532906     All      -0.4797802727434935        0.30746175826079636       -0.10573762508737215       0.25171204441932243       
Check         All|All|All                              All                   All      0.9940705621655209         0.9981703836227318        0.00046404393000890054     0.0013561548780527954     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4713.0996213262815    All      -9.628149298981119e-05     -8.09790027490903e-05     -0.0008848753588706842     -3.450339867249605e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3525.848104685801     All      -0.00037532680360968465    0.00011627737213825749    -0.00012157231596081833    0.00015470643923821175    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7459.2682427101845    All      -5.949941695060996e-05     -5.05486562943238e-06     -0.00017197538294052648    1.0059910051571808e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5270.4111251830345    All      0.00015958725169102413     2.771147164508685e-05     -0.0008953980980473954     -8.291378484639429e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6100.886757225991     All      -0.00015198477118703188    -2.049230743799878e-05    -0.00043595615171183584    2.3376700639906052e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4314.419943532906     All      -0.00025551856112415646    8.454477478700263e-05     -0.0004736976781511277     8.963086449656503e-05     
MWEBV         All|All|All                              All                   All      -1.0497354523356193        -3.9368114323842462       -0.01630709786096694       -0.9411433395620781       
Redshift      All|All|All                              All                   All      4.616647271527775          0.7312654875275548        6.589031933651252          -0.9715584394429964       
