#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4713.0996213262815    All      -0.27926928467946255       0.45414545225268554        0.09854660795083348        0.2432949909516001        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3525.848104685801     All      -0.23626535395950707       0.08981020300380393        -0.033659942251840214      0.10471144784195731       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7459.2682427101845    All      0.3339569361592661         -0.029942479952804746      0.13199930686504935        -0.11264348894839057      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5270.4111251830345    All      0.6052760994776928         0.20185769264360331        -0.10933742045720063       -0.1362858740836241       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6100.886757225991     All      1.0315777641035575         -0.026889725246714846      -0.025647473099765783      -0.34592221275730956      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4314.419943532906     All      -0.453444439104881         0.3074843606721167         -0.0569162699388448        0.24531963218090425       
Check         All|All|All                              All                   All      1.0018317219966657         0.9964655033726899         0.0049848090682313995      -0.0015255048148625772    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4713.0996213262815    All      -0.0001749078985275095     -7.512605600483324e-05     -0.0010827408260806071     -1.581552138448434e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3525.848104685801     All      -0.0003483129296555455     0.0001092804135848815      -0.00016090841815181737    0.00014187260259075832    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7459.2682427101845    All      -7.390389388150433e-05     -3.343314325602551e-06     -0.00017459070920272042    1.519272064987918e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5270.4111251830345    All      0.0001372543010973939      1.4541942333192357e-05     -0.001037478854830881      -8.626936868926133e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6100.886757225991     All      -0.00021054022466872883    -2.8705096577106162e-05    -0.0005335235321324592     3.5420978563347144e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4314.419943532906     All      -0.00020727679336951158    6.066754536275618e-05      -0.0004465203503533161     6.735213378953208e-05     
MWEBV         All|All|All                              All                   All      -1.0748175376828804        -3.9267216707727925        -0.018011917402427358      -0.929762790154412        
Redshift      All|All|All                              All                   All      4.5850271459384935         0.9261729011503128         7.591122671174699          -0.8530522602075721       
