#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4667.25090483144     All      -0.6539405398504179        1.0938828310409932         3.582488952503038         0.7291936017538525        
Zeropoint     AB|PS|PS_g                3675.197164535704    All      -0.16441109816138882       0.06127149031609491        -0.39960893397625874      0.055679532417829414      
Zeropoint     AB|PS|PS_z                6496.735744614274    All      1.5298879486153896         -0.16690305041624498       2.2258135041849147        -0.453372817250261        
Zeropoint     AB|PS|PS_i                5653.051663555157    All      0.2848725947170605         0.009725742483901456       -5.415633612643078        -0.3312992368616485       
Check         All|All|All               All                  All      0.9964089053206436         0.9979770134247445         -0.006940089931384286     0.00020108005977237386    
Lambda        AB|PS|PS_r                4667.25090483144     All      4.645581261476187e-05      -5.5513342790495915e-05    -0.0001245933263495447    -3.877473651959134e-05    
Lambda        AB|PS|PS_g                3675.197164535704    All      -0.0005106937706402101     0.00016396667447377786     -0.001460928973986522     0.00015456455233805682    
Lambda        AB|PS|PS_z                6496.735744614274    All      -0.00039943191147359886    0.0001770371634856911      0.000400073985054826      0.00020562840746312744    
Lambda        AB|PS|PS_i                5653.051663555157    All      3.6122409571488247e-06     0.0003909693093817571      0.0035487889263744617     0.0002845410916410129     
MWEBV         All|All|All               All                  All      -0.4175336065361539        -2.8139697003693342        -0.0733553003076981       -0.7838715863111841       
Redshift      All|All|All               All                  All      2.8454141692388775         -0.35564953173423675       -15.324922795821205       -1.7265726788275635       
