#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4667.25090483144     All      -0.7676309467028386        1.052452566768558          2.739697059068286         0.7151211760793981        
Zeropoint     AB|PS|PS_g                3675.197164535704    All      -0.20019101050991567       0.06790579344500003        -0.5350133902972597       0.0634527587896388        
Zeropoint     AB|PS|PS_z                6496.735744614274    All      1.6404114258245714         -0.2148462124937467        2.2502893947132074        -0.5038983684829345       
Zeropoint     AB|PS|PS_i                5653.051663555157    All      0.3200836019683284         0.09505174282207207        -4.460288106377791        -0.27234245267752893      
Check         All|All|All               All                  All      0.9926730705801456         1.0005638905418834         -0.005315042893557553     0.00233311370857342       
Lambda        AB|PS|PS_r                4667.25090483144     All      7.174583019931583e-05      -0.00012833331321766711    -0.0004724148128442464    -8.625406279369534e-05    
Lambda        AB|PS|PS_g                3675.197164535704    All      -0.0004430204604113279     0.00014677313401095148     -0.0012130879032063798    0.0001379806357273633     
Lambda        AB|PS|PS_z                6496.735744614274    All      -0.0003793597233277015     7.595895964365903e-05      -0.0003907957093807914    0.00013087285693361308    
Lambda        AB|PS|PS_i                5653.051663555157    All      -5.6442508068997544e-05    0.0001713536533445602      0.002461715469507782      0.00018405575919743452    
MWEBV         All|All|All               All                  All      -0.41823559111883046       -2.8142280025646116        -0.08272152923662011      -0.7841450361404555       
Redshift      All|All|All               All                  All      1.7622581778984392         0.9292843855083888         -10.737208441447818       -0.7504792667323784       
