#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_u       3466.434717690484    All      -0.6786438025636683        0.17454011819806325        0.038474013305389576      0.2796269904184267         
Zeropoint     VEGAHST|UVOT|UVOT_b       4345.084086139128    All      -0.2528510431180896        0.4879789385643818         -0.23976730804537993      0.2306129838697897         
Zeropoint     VEGAHST|UVOT|UVOT_v       5398.365115820203    All      1.9200462775238092         0.33743837887847405        0.20290265103848348       -0.5064528454244505        
Check         All|All|All               All                  All      0.9885514318420511         0.9999574356409191         0.0016093562984931253     0.003787128863765976       
Lambda        VEGAHST|UVOT|UVOT_u       3466.434717690484    All      0.00016501227548745194     -6.479322786527065e-05     -6.182604076356115e-05    -7.76142250610197e-05      
Lambda        VEGAHST|UVOT|UVOT_b       4345.084086139128    All      -0.00038670251332559937    -0.00011750529486344224    -0.0020078448765138246    -1.914504762292135e-06     
Lambda        VEGAHST|UVOT|UVOT_v       5398.365115820203    All      0.0010233611210943097      4.96209727187976e-05       -0.0015187943342415135    -0.00038495601699237766    
MWEBV         All|All|All               All                  All      -1.5985165527368066        -3.9167385787584053        -0.0050626141199217045    -0.7553471023309537        
Redshift      All|All|All               All                  All      0.7618403286210146         0.669974395992945          5.521090026633768         0.21645713388298266        
