#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5866.298449823843    All      0.9905852524128304         0.07670230531848787        -0.5051755564233318        -0.32022540662030585       
Zeropoint     AB|PS|PS_g                4619.379559559254    All      -1.0263572806576098        1.0643517911173461         0.11102766915160878        0.6859673819051226         
Zeropoint     AB|PS|PS_i                7105.357926302742    All      0.7196549730976962         -0.08967506278541038       0.2784080257743238         -0.25120134734593624       
Zeropoint     AB|PS|PS_z                8165.790013151714    All      0.3154976850574142         -0.05253284448372142       0.11961821449788523        -0.11454163978987797       
Check         All|All|All               All                  All      0.9993806299103309         0.9988461891667022         0.003878353000486001       -1.0118509974343937e-06    
Lambda        AB|PS|PS_r                5866.298449823843    All      -0.00014442956250360292    -1.0151197664408677e-05    -0.00020717755240551395    3.4493498423335126e-05     
Lambda        AB|PS|PS_g                4619.379559559254    All      -6.004527088297512e-05     -0.0002135877981014193     -0.0010833979146857942     -9.836092557993419e-05     
Lambda        AB|PS|PS_i                7105.357926302742    All      -0.0003978354733564124     1.9752046164281863e-05     -0.0004390329145207361     0.0001164299707593985      
Lambda        AB|PS|PS_z                8165.790013151714    All      3.619486487480517e-05      -2.9417394653836386e-06    5.63107190607851e-05       -1.0235190823733306e-05    
MWEBV         All|All|All               All                  All      -0.6405759962793502        -3.86717441957094          0.06470952935750951        -1.0481215693060624        
Redshift      All|All|All               All                  All      3.8891652026875576         0.5274522091070821         2.1387654444874116         -0.9995772402885017        
