#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5866.298449823843    All      1.0159283392528748        0.06008453574812833        -0.43309227093089386      -0.3306766920593743       
Zeropoint     AB|PS|PS_g                4619.379559559254    All      -1.078288252843692        1.096868331315104          0.06364082167115222       0.7113600575660404        
Zeropoint     AB|PS|PS_i                7105.357926302742    All      0.7378017889692081        -0.09803286040286352       0.28122729718661205       -0.2597089608004905       
Zeropoint     AB|PS|PS_z                8165.790013151714    All      0.3233889122341494        -0.059857060956147734      0.09112963175725607       -0.1207691249640238       
Check         All|All|All               All                  All      0.9988307876125403        0.999062945704221          0.0029054796841264524     0.000205279742151801      
Lambda        AB|PS|PS_r                5866.298449823843    All      -4.694401218451639e-05    -2.1707884571519214e-05    -0.0002870566137645914    -4.589781261482688e-06    
Lambda        AB|PS|PS_g                4619.379559559254    All      -0.0002494443163820353    -2.41772239152452e-05      -0.0010540924267010158    2.6337599351384666e-05    
Lambda        AB|PS|PS_i                7105.357926302742    All      -0.0003789125577986647    1.1577242059671438e-05     -0.000482329218299755     0.00010567123679194453    
Lambda        AB|PS|PS_z                8165.790013151714    All      9.341993951599088e-05     -7.155598085610652e-07     0.00017009229994592007    -2.307259095503612e-05    
MWEBV         All|All|All               All                  All      -0.6584299273627763       -3.8665967236733323        0.04153169587811142       -1.04315210227207         
Redshift      All|All|All               All                  All      3.489040187937877         0.05092652677642917        0.9391542175315238        -1.077996590670889        
