#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                6263.087374411571     All      0.8147849906149791         0.1226542053789359         -0.4084246115674112        -0.24367588176572594       
Zeropoint     AB|PS|PS_r                4499.398061479304     All      0.2746062801535989         0.38578690802371085        0.6607676186939905         0.06570221225771619        
Zeropoint     AB|PS|PS_g                3543.02250614988      All      -0.7998593018574875        0.2961467783645588         -0.5686175533170656        0.33163044801876496        
Zeropoint     AB|PS|PS_i                5449.7455172406335    All      0.7061193814544677         0.19357477105241827        0.3192809389160277         -0.1527045999252618        
Check         All|All|All               All                   All      0.9956513503655583         0.9981626628196238         0.003006392725541318       0.0009521785854934017      
Lambda        AB|PS|PS_z                6263.087374411571     All      -1.6606179706307042e-05    -1.808438957563549e-05     -0.0007241835882306119     -3.279848907391606e-05     
Lambda        AB|PS|PS_r                4499.398061479304     All      -0.0002285401790431389     -0.00016263381582409198    -0.0013393794515888498     -3.8302482621702124e-05    
Lambda        AB|PS|PS_g                3543.02250614988      All      -0.0013057947031243835     0.00036502478312045686     -0.002466245702620169      0.00043418365634719126     
Lambda        AB|PS|PS_i                5449.7455172406335    All      7.320977288549346e-05      2.2862001328990512e-05     -5.8536081309052824e-05    -1.9012122050763254e-05    
MWEBV         All|All|All               All                   All      -0.5202657306519884        -2.604504375623762         0.020572812807778208       -0.6779870259339115        
Redshift      All|All|All               All                   All      5.5356990093097505         0.1676268826159344         1.8610669715066674         -1.6655068246245612        
