#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6263.087374411571     All      0.579147186506137          0.029831177305794654       -2.3824423953226814       -0.2852477580975732        
Zeropoint     AB|PS|PS_r                4499.398061479304     All      0.35325072621951004        0.44009983738089176        1.383378617292974         0.09002344681775867        
Zeropoint     AB|PS|PS_g                3543.02250614988      All      -0.5915492499526273        0.35541734887178933        0.8998214822783068        0.3486130755363338         
Zeropoint     AB|PS|PS_i                5449.7455172406335    All      0.6630904699595459         0.17498812358489602        0.17545940258040238       -0.15116104502317096       
Check         All|All|All               All                   All      1.0039391327325657         1.0003364871433718         0.07621710682900185       0.0022277192333483298      
Lambda        AB|PS|PS_z                6263.087374411571     All      -0.00017451716049244722    -4.030560855014858e-05     -0.0005403389460792121    1.960427242001517e-05      
Lambda        AB|PS|PS_r                4499.398061479304     All      -0.00033822157534001124    -0.00018060467744307398    -0.002074118723053836     -4.121738344020791e-05     
Lambda        AB|PS|PS_g                3543.02250614988      All      -0.0018182172257523656     0.0002654865592047909      -0.006192606809650711     0.0004023832742785046      
Lambda        AB|PS|PS_i                5449.7455172406335    All      9.729171307863329e-05      2.1824491039474103e-05     -9.563399854540878e-05    -2.8849863140026122e-05    
MWEBV         All|All|All               All                   All      -0.47145918386148056       -2.592947856772554         0.3405095787194168        -0.6758432770770402        
Redshift      All|All|All               All                   All      5.844620634859743          0.07514086025217637        2.604112634162914         -1.763099786230374         
