#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                6539.268366315038     All      0.40757058135596524        0.042036542763668194       -0.8979381327532776        -0.15913731686628538       
Zeropoint     AB|PS|PS_i                5690.060881308886     All      1.2123796118202952         0.11328190290669227        0.33428958875495557        -0.34309447402416093       
Zeropoint     AB|PS|PS_g                3699.2578277394523    All      -1.0125823586064988        0.3805707832626126         -1.066976402757981         0.4061815552740287         
Zeropoint     AB|PS|PS_r                4697.80631372002      All      0.3896258405818108         0.46214926509229315        1.6383888791187913         0.09673703613998592        
Check         All|All|All               All                   All      0.9969936751515724         0.9980384940252662         0.0077639323624882906      0.0006868005235683011      
Lambda        AB|PS|PS_z                6539.268366315038     All      -0.00021137843949838584    -1.7445039686706568e-05    -0.00024266476879647938    5.2341474425590094e-05     
Lambda        AB|PS|PS_i                5690.060881308886     All      -0.0004559078505174658     -2.1705095850716656e-05    -0.0007337864633915735     0.00010868860233944742     
Lambda        AB|PS|PS_g                3699.2578277394523    All      -0.0018531988696862637     0.0005967080200646427      -0.002577400442020635      0.000682997729379179       
Lambda        AB|PS|PS_r                4697.80631372002      All      -0.00019459478358778353    -6.271765960885914e-05     -0.0012758668969112632     -1.3979361855999576e-05    
MWEBV         All|All|All               All                   All      -0.48326553413282225       -2.8056272727283726        -0.02988643300901928       -0.7578033159341323        
Redshift      All|All|All               All                   All      9.552198703866573          0.05417530743727639        14.814993927816278         -2.4326935597128556        
