#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6539.268366315038     All      0.419162920050541          0.03293933715120545        -0.5415757321542536       -0.14997376488744898      
Zeropoint     AB|PS|PS_i                5690.060881308886     All      1.2070113791908808         0.12217868692694367        0.4859371560670178        -0.33168055435920385      
Zeropoint     AB|PS|PS_g                3699.2578277394523    All      -0.8646088153326117        0.3399372953158064         -1.0670848936211064       0.34474119876948744       
Zeropoint     AB|PS|PS_r                4697.80631372002      All      0.22356579728180898        0.5055880472760066         1.076086699657508         0.13988473219780986       
Check         All|All|All               All                   All      0.9851312811906192         1.0006433666699621         -0.04663677005083411      0.0029716117206445014     
Lambda        AB|PS|PS_z                6539.268366315038     All      -0.000108119010297635      -2.6916607586205402e-05    1.3579315182242267e-06    2.6510892289715414e-05    
Lambda        AB|PS|PS_i                5690.060881308886     All      -0.0004219786017593403     6.897500685169138e-07      -0.0002378293394551109    0.00012706375645684268    
Lambda        AB|PS|PS_g                3699.2578277394523    All      -0.0015418393233586636     0.00069047664604406        -0.0011408128428744854    0.0006762295146348271     
Lambda        AB|PS|PS_r                4697.80631372002      All      -0.00019676473112328332    -1.7899759922054705e-05    -0.00082169984298538      2.1593515541443508e-05    
MWEBV         All|All|All               All                   All      -0.4909645536789351        -2.8100421780049345        -0.09534288305708127      -0.7596545926074332       
Redshift      All|All|All               All                   All      7.017066724189439          -0.5586641629767186        1.9641449022892665        -2.3800140180952862       
