#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4042.306070370603     All      -0.8894865704849866       0.5386589189965818        -0.5994938497777177        0.43844131337525116        
Zeropoint     AB|SDSS|SDSS_r            5282.085613447076     All      0.899656786248864         0.3958873427892584        0.27571509897185786        -0.15179038270373327       
Zeropoint     AB|SDSS|SDSS_z            7615.5485029356505    All      0.07838672391993519       0.0019810948687748464     0.06839030587168492        -0.021835881806755542      
Zeropoint     AB|SDSS|SDSS_u            3074.1193951567566    All      -0.07060050667688314      0.04372373108285643       0.15492211042891188        0.04415262765097736        
Zeropoint     AB|SDSS|SDSS_i            6405.452020845861     All      0.9751294409036289        0.020225318479205612      0.10787566731517098        -0.30622969250887455       
Check         All|All|All               All                   All      0.9930858739105584        1.000476406216677         0.007409332809907965       0.0027379840068652017      
Lambda        AB|SDSS|SDSS_g            4042.306070370603     All      -0.0007644608837682396    0.000285591305606393      -0.001702183130088758      0.0002660759285187208      
Lambda        AB|SDSS|SDSS_r            5282.085613447076     All      0.00027678302701924183    0.00011176203414374234    0.00012062118433438117     -4.8369996945175675e-05    
Lambda        AB|SDSS|SDSS_z            7615.5485029356505    All      -6.724939648982348e-06    3.035941070153471e-07     6.242136266325025e-08      2.2922102549454594e-06     
Lambda        AB|SDSS|SDSS_u            3074.1193951567566    All      -6.009836255647347e-05    3.841307228249765e-05     0.00014157790133444365     3.8406386749768696e-05     
Lambda        AB|SDSS|SDSS_i            6405.452020845861     All      -0.0003157306292230274    -1.280660958023815e-05    -0.00014983672276253537    9.198579434017e-05         
MWEBV         All|All|All               All                   All      -0.7219822675162471       -3.2741519321310975       0.3539870544659083         -0.8155288072159678        
Redshift      All|All|All               All                   All      6.118651425667944         -0.480763163919562        -1.019754457682366         -2.1951534040032543        
