#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4042.306070370603     All      -0.8804958680412927       0.5531114124695868         -0.747827344818619         0.43360095578851104       
Zeropoint     AB|SDSS|SDSS_r            5282.085613447076     All      0.7740440174165696        0.37682667315293017        0.23095581689309697        -0.1190802597228942       
Zeropoint     AB|SDSS|SDSS_z            7615.5485029356505    All      0.09631663746961316       0.0003399724792352288      0.0617668390570536         -0.028506386983570553     
Zeropoint     AB|SDSS|SDSS_u            3074.1193951567566    All      -0.059618602375585916     0.02535866793040853        0.013791298977361421       0.02829533494003028       
Zeropoint     AB|SDSS|SDSS_i            6405.452020845861     All      1.042352136375916         0.03814035658216142        0.32550498699868147        -0.31257902168564666      
Check         All|All|All               All                   All      0.97259832084522          0.9937770826143222         -0.11580840289242555       0.001730622336429899      
Lambda        AB|SDSS|SDSS_g            4042.306070370603     All      -0.000911241918515027     0.00039290002391663946     -0.00179935436368382       0.000344505014529962      
Lambda        AB|SDSS|SDSS_r            5282.085613447076     All      0.0003531758910373437     0.00015752315144608456     -0.00010598998346202647    -6.84603802363377e-05     
Lambda        AB|SDSS|SDSS_z            7615.5485029356505    All      -6.488926493297556e-06    -3.5577714611304046e-07    -1.3396484789912853e-05    1.3999449286535684e-06    
Lambda        AB|SDSS|SDSS_u            3074.1193951567566    All      -8.45489926585236e-05     4.054125320849005e-05      4.2067492141546085e-05     4.262328739101155e-05     
Lambda        AB|SDSS|SDSS_i            6405.452020845861     All      -1.562620089630857e-05    1.0235419379830911e-05     4.98209713756789e-05       1.0647261679025243e-05    
MWEBV         All|All|All               All                   All      -0.7365606988878568       -3.2891892334010464        0.13843604328309667        -0.8252973278773308       
Redshift      All|All|All               All                   All      5.874125589671651         -0.8447055675761206        -0.1667100534922028        -2.1959838549108155       
