#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4090.6113443260792    All      -0.691552197919772         0.5230597059160402         -0.2608388468829036        0.38399901687715127       
Zeropoint     AB|SDSS|SDSS_u            3110.8549062659577    All      -0.10128726338996749       0.07003053865162201        0.1634374371036659         0.06309730649016018       
Zeropoint     AB|SDSS|SDSS_r            5345.206165966359     All      0.6418204966222989         0.3504759257115353         -0.646052638510068         -0.12373087374157749      
Zeropoint     AB|SDSS|SDSS_z            7706.553773281693     All      0.1695445670144021         0.01077409004626162        0.24457952753567475        -0.04080230674128763      
Zeropoint     AB|SDSS|SDSS_i            6481.996723124491     All      0.9744622070890934         0.04638507100871436        0.506675925735454          -0.2796946365650234       
Check         All|All|All               All                   All      0.992987809416055          1.0007253313341735         0.007801404981822968       0.00286850631942287       
Lambda        AB|SDSS|SDSS_g            4090.6113443260792    All      -0.0005929838690902833     0.00025731003503160735     -0.0013227770597696094     0.00021793923352881245    
Lambda        AB|SDSS|SDSS_u            3110.8549062659577    All      -7.145288397600206e-05     5.086644351078207e-05      0.00012420508146664987     4.538613148134045e-05     
Lambda        AB|SDSS|SDSS_r            5345.206165966359     All      0.00011994708503932131     8.843163517087838e-05      -0.0011746051391384202     -6.268285144312916e-05    
Lambda        AB|SDSS|SDSS_z            7706.553773281693     All      -4.413012272170558e-06     1.643775208389958e-06      8.039413892468711e-06      2.331657063136394e-06     
Lambda        AB|SDSS|SDSS_i            6481.996723124491     All      -0.00022412733920930666    -4.1698241352636633e-05    -0.00042975859941835005    4.024500642878047e-05     
MWEBV         All|All|All               All                   All      -0.771120458074257         -3.2904583872900517        0.35620225026252583        -0.8047355768501071       
Redshift      All|All|All               All                   All      5.575075955966485          -0.2842468206379678        6.823185623939926          -1.6040867576953364       
