#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4090.6113443260792    All      -0.7441034455543318       0.5281917348041176         -0.48181880316053305      0.39292703723956235       
Zeropoint     AB|SDSS|SDSS_u            3110.8549062659577    All      -0.09260531287335994      0.061461292810705004       0.11891036238241282       0.055490985449659774      
Zeropoint     AB|SDSS|SDSS_r            5345.206165966359     All      0.5718444649428671        0.3336509088164519         -0.6792007117994048       -0.1078970858771771       
Zeropoint     AB|SDSS|SDSS_z            7706.553773281693     All      0.18175511052636792       0.01083755591118063        0.26416091327727265       -0.04388518224631953      
Zeropoint     AB|SDSS|SDSS_i            6481.996723124491     All      1.075065004942267         0.0669751117992945         0.7837021218147444        -0.2933950170861083       
Check         All|All|All               All                   All      0.9919558219838103        1.0011166041417496         0.005753882514492048      0.003240737479617173      
Lambda        AB|SDSS|SDSS_g            4090.6113443260792    All      -0.0006494392611431151    0.00028617128677517223     -0.0012842970420427766    0.00024744685770632796    
Lambda        AB|SDSS|SDSS_u            3110.8549062659577    All      -7.866460857178336e-05    5.791736574257256e-05      0.00012850612153312175    5.0223880444427885e-05    
Lambda        AB|SDSS|SDSS_r            5345.206165966359     All      0.00020532434406016407    0.0001223202791741483      -0.0010541135654355232    -7.407740174289331e-05    
Lambda        AB|SDSS|SDSS_z            7706.553773281693     All      -3.344726898093548e-06    1.8776527036439482e-06     8.038666067121124e-06     2.0598295937892804e-06    
Lambda        AB|SDSS|SDSS_i            6481.996723124491     All      -0.0001999558187475178    -4.8905835104919766e-05    -0.0006241865085403848    2.13473719780343e-05      
MWEBV         All|All|All               All                   All      -0.7796481639322299       -3.285312433700227         0.33012504975334367       -0.8014453218084003       
Redshift      All|All|All               All                   All      5.562965368205584         -0.38319764793008915       7.9716753080865175        -1.581121660888541        
