#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7850.457172601164     All      0.1127719659639014        -0.0007495557188264002    0.1940913173111291         -0.02831629029677626      
Zeropoint     AB|SDSS|SDSS_i            6603.0341401433925    All      0.9587925809661008        0.01090090449658021       0.8114818137968053         -0.2725467973874131       
Zeropoint     AB|SDSS|SDSS_r            5445.016452116923     All      0.7778419529602904        0.32265570058704895       -0.8881762615845556        -0.18790436488935686      
Zeropoint     AB|SDSS|SDSS_u            3168.943464261018     All      -0.09774877303198781      0.06469215500430892       0.2577342877737894         0.06441385194179344       
Zeropoint     AB|SDSS|SDSS_g            4166.994757075906     All      -0.7593330567310617       0.6030597890916312        -0.3667751269935749        0.4274086818972551        
Check         All|All|All               All                   All      0.992324670127243         1.0005589934607428        0.008356030303593165       0.0030550812655023574     
Lambda        AB|SDSS|SDSS_z            7850.457172601164     All      6.6731857349082066e-06    -2.955258487470963e-08    1.8891208590733047e-05     -1.340274509072472e-06    
Lambda        AB|SDSS|SDSS_i            6603.0341401433925    All      -0.0003429021918756893    7.837957716729372e-07     -0.00031183978277465863    9.803385583297525e-05     
Lambda        AB|SDSS|SDSS_r            5445.016452116923     All      0.00018622787283230878    6.572545405367676e-05     -0.0001831229077335232     -4.742353652707645e-05    
Lambda        AB|SDSS|SDSS_u            3168.943464261018     All      -6.813898017781907e-05    4.457328315747026e-05     0.000174757192557395       4.451270316470764e-05     
Lambda        AB|SDSS|SDSS_g            4166.994757075906     All      -0.0006002187816045296    0.0002881468810160097     -0.001564609077677045      0.0002195486055305486     
MWEBV         All|All|All               All                   All      -0.7785188761699402       -3.4066003764475994       0.45976247989540864        -0.8355355180885955       
Redshift      All|All|All               All                   All      3.2561310860183315        -0.4958439411023363       -0.29234643561038043       -1.235187781367847        
