#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7850.457172601164     All      0.09796654118154612        -0.001929638316511273     0.2046454702060555         -0.02340708471655628      
Zeropoint     AB|SDSS|SDSS_i            6603.0341401433925    All      1.1019030224594621         -0.0007009138030866779    1.2070644683040337         -0.30528863325892386      
Zeropoint     AB|SDSS|SDSS_r            5445.016452116923     All      0.7493189635366004         0.293646754889032         -1.1253698824401077        -0.1986475187432779       
Zeropoint     AB|SDSS|SDSS_u            3168.943464261018     All      -0.05118862576447222       0.03372107972552385       0.1345475511006923         0.03366212377550193       
Zeropoint     AB|SDSS|SDSS_g            4166.994757075906     All      -0.9026357268198892        0.6748600639259195        -0.41753679773331925       0.49520952751020975       
Check         All|All|All               All                   All      0.9953641745932473         0.9995973464208774        0.003350809437354607       0.0015284145669536287     
Lambda        AB|SDSS|SDSS_z            7850.457172601164     All      1.317280907836521e-05      1.5528248797556969e-06    6.1789591887257e-05        -1.027625443014757e-06    
Lambda        AB|SDSS|SDSS_i            6603.0341401433925    All      -0.00029158048614550216    2.5063390573163398e-05    5.5114207560035424e-05     0.00010560082187439427    
Lambda        AB|SDSS|SDSS_r            5445.016452116923     All      0.00022525362771285215     0.00010595706470720794    -0.00023455653360172893    -4.932599612673651e-05    
Lambda        AB|SDSS|SDSS_u            3168.943464261018     All      -5.3707039785069064e-05    2.7131088918398518e-05    5.482925480232479e-05      2.8778415834327717e-05    
Lambda        AB|SDSS|SDSS_g            4166.994757075906     All      -0.0007662669671635727     0.0004878213524451314     -0.0010565349707399492     0.0003613495207222577     
MWEBV         All|All|All               All                   All      -0.6745634570469141        -3.471477075841811        0.2463887501024372         -0.9000515830719424       
Redshift      All|All|All               All                   All      3.092350400285352          -1.1997478013373808       -2.020078472796672         -1.4882244144611978       
