#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3517.9541587685635    All      -0.3109821196889899        0.11085408449069689        -0.06928431328988571       0.13431408900943728       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4304.760480990195     All      -0.4912253470665082        0.29906843078668643        -0.1825601823308376        0.2492778608709674        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4702.547563379186     All      -0.29070977981758095       0.4568792745277328         0.17416988575074122        0.2512867520173177        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6087.227612339763     All      1.0846638746352837         -0.0343665450359687        -0.008443318046336135      -0.36488180919986984      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7442.567846566668     All      0.37863703144440375        -0.03691811786508126       0.07747289327383333        -0.13190272408174913      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5258.611314428706     All      0.6230716290882219         0.2026058541419573         0.008314814562770945       -0.13658848382774105      
Check         All|All|All                              All                   All      0.9934552885948301         0.9981229810460235         -0.00033022007971394984    0.0015056847883624103     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3517.9541587685635    All      -0.0003471941214061772     0.00011742349049950793     -9.038663029741948e-05     0.0001473077014836934     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4304.760480990195     All      -0.00028946963199580393    7.508361940459292e-05      -0.0006308808768021762     9.059367142622108e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4702.547563379186     All      -6.033168218029495e-05     -8.593156154801924e-05     -0.0006684674617110911     -3.816935557724553e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6087.227612339763     All      -0.00010508129148400988    -1.2690013517286857e-05    -0.00022018115555877732    2.0269205099404083e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7442.567846566668     All      -6.689950873975665e-05     -5.1528910211520955e-06    -0.0001408377770088659     1.3827961650941342e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5258.611314428706     All      0.00017597418859343245     1.3602988873977962e-05     -0.0009265035934654543     -9.42352417017009e-05     
MWEBV         All|All|All                              All                   All      -1.0495966188406376        -3.925227459135616         -0.008381744429453164      -0.9370616088865843       
Redshift      All|All|All                              All                   All      4.134055545692145          0.7733684773898908         5.40780603635771           -0.8533607952186474       
