#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3517.9541587685635    All      -0.2785491618833885        0.10375814123451121        -0.049238531832580396      0.12233277663089127        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4304.760480990195     All      -0.4739701180547611        0.30165727137898557        -0.1265043752931403        0.2470020488659891         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4702.547563379186     All      -0.3010852728130593        0.45172716940085067        0.10566405640362679        0.2499310807626081         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6087.227612339763     All      1.0796638278035484         -0.034523436865185886      -0.01987245683156547       -0.3638142642523319        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7442.567846566668     All      0.35990007619621556        -0.03584638751750191       0.07622696670421245        -0.12550598347727698       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5258.611314428706     All      0.6082640956584393         0.2112915010215488         0.013821019429467276       -0.1286902654641868        
Check         All|All|All                              All                   All      0.9942234469069946         0.9980642586532085         9.667858002035921e-05      0.0012553930656927503      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3517.9541587685635    All      -0.0003482499805502731     0.00011844045015642009     -0.00014938496848656982    0.00014535006189707921     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4304.760480990195     All      -0.0002670216250475851     8.731956209936469e-05      -0.0004830658835589337     9.386357039067618e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4702.547563379186     All      -7.991301944548285e-05     -6.519980334666147e-05     -0.0006874694024287309     -2.5886023463815888e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6087.227612339763     All      -0.00011715479606146285    -2.4772188361694548e-05    -0.00037028826017129583    1.3567790246352047e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7442.567846566668     All      -7.133986207529578e-05     -8.95130108410008e-06      -0.00018613384201355665    1.2015708350273107e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5258.611314428706     All      0.0001603275910927236      3.6459510644132086e-05     -0.0007892397368213363     -7.55680535482458e-05      
MWEBV         All|All|All                              All                   All      -1.0473370662891552        -3.9257510424392628        -0.021704351986136124      -0.9385626945837812        
Redshift      All|All|All                              All                   All      4.275136127961979          0.6003643112834744         4.5581769419245095         -0.993583575125357         
