#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3558.4102260462964    All      -0.607807922531041        0.3544508148090486         1.0664714075645763        0.36103104891740606        
Zeropoint     AB|PS|PS_r                4518.93942113828      All      -0.26073889788580473      0.24964084000611564        -2.947191241095302        0.03472786249572118        
Zeropoint     AB|PS|PS_z                6290.288622508907     All      0.8171806049473765        0.1347649954025698         0.9573265456114206        -0.17956412794659354       
Zeropoint     AB|PS|PS_i                5473.414335990864     All      1.0493322974306931        0.2601503915501624         0.9420095235862558        -0.21502495151440185       
Check         All|All|All               All                   All      0.9979660819612239        0.9990070417678965         0.018616235666950587      0.0011698319521318556      
Lambda        AB|PS|PS_g                3558.4102260462964    All      -0.0011089741467698317    0.0003718790508331285      -0.000694691839471846     0.00045136169889098285     
Lambda        AB|PS|PS_r                4518.93942113828      All      -0.0001080629212009103    -0.00010641006680863255    -0.0005385079571142375    -2.349274779556117e-05     
Lambda        AB|PS|PS_z                6290.288622508907     All      3.658289287105712e-05     7.190168305629046e-06      8.072089556819724e-05     -5.971974551330636e-06     
Lambda        AB|PS|PS_i                5473.414335990864     All      9.063886450646466e-05     2.8727987042289653e-05     0.00011194171284331745    -1.5170965082944792e-05    
MWEBV         All|All|All               All                   All      -0.45680051562278834      -2.6017790679683017        0.4690936312922773        -0.6777565879017823        
Redshift      All|All|All               All                   All      3.533347220332711         -0.24741317281424813       -10.334227387701345       -1.6926871482938255        
