#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3558.4102260462964    All      -0.5297579549554757        0.3783882506255054         1.5583373610122588        0.3653545355178048         
Zeropoint     AB|PS|PS_r                4518.93942113828      All      -0.253882047056836         0.23115097444339483        -3.296647468711232        0.01087697664064885        
Zeropoint     AB|PS|PS_z                6290.288622508907     All      0.7653040605198671         0.13319243917599977        0.8564657782279813        -0.16767941684906645       
Zeropoint     AB|PS|PS_i                5473.414335990864     All      1.0168638257610771         0.25626492360064645        0.900267830579611         -0.20757726689609907       
Check         All|All|All               All                   All      0.9985278842686327         0.9989965878455465         0.01842350110861901       0.0009748284132881091      
Lambda        AB|PS|PS_g                3558.4102260462964    All      -0.0012613235130852275     0.0002643328642042131      -0.0022581721303371496    0.0003961846239196257      
Lambda        AB|PS|PS_r                4518.93942113828      All      -0.00023120101782017456    -0.00014590163480527772    -0.001154010788668088     -2.3713386004114412e-05    
Lambda        AB|PS|PS_z                6290.288622508907     All      7.366973094346765e-05      2.2468190799614663e-05     0.00027595687484698663    -4.36333820515173e-06      
Lambda        AB|PS|PS_i                5473.414335990864     All      8.618426939398531e-05      2.4317897182494497e-05     8.981656835400692e-05     -1.614381183941103e-05     
MWEBV         All|All|All               All                   All      -0.4604591649383307        -2.595118674119057         0.5232886350350671        -0.6719768619481831        
Redshift      All|All|All               All                   All      4.200775869097951          0.13673583624420615        -4.788700145277329        -1.5374892354256482        
