#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4654.520774505672    All      -0.3189522954897018        0.4419735518333745         0.11343961754423093        0.2529208713116078         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5204.905485415367    All      0.5575262417902794         0.22902326867244582        -0.06255505957662999       -0.10979577077518954       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7366.55742246646     All      0.36339836509259615        -0.02980047696059529       0.12256803411929695        -0.12260815028626963       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3482.025539361158    All      -0.2036201238077394        0.07370431505133723        -0.0218368476497921        0.08935921522184205        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4260.796263726012    All      -0.46336919384592634       0.28705530656853995        -0.11955705631942481       0.23910266569990393        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6025.059183116523    All      1.0666262038463705         -0.006848258485092629      -0.03890945221389219       -0.35140229878982615       
Check         All|All|All                              All                  All      1.0016091975858785         0.9951077066800096         -0.006850764096211215      -0.0024234676179315517     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4654.520774505672    All      -0.00012717999536627074    -7.28518514850651e-05      -0.0009391407332193726     -2.4213073801253554e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5204.905485415367    All      0.00011462392607130322     3.865625441695564e-05      -0.0005891911678561364     -5.1038065684247e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7366.55742246646     All      -0.00012353276505421094    -6.845907280547644e-07     -0.00022515910124750274    2.9967875392589017e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3482.025539361158    All      -0.0003617637512377703     9.937931616123068e-05      -0.00025978429775503416    0.00013861648814545973     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4260.796263726012    All      -0.00022230867432337112    6.871666832951217e-05      -0.0004640285830573181     7.408906409577548e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6025.059183116523    All      -0.00018795495298122217    -2.7135016344090774e-05    -0.0005351237394030268     2.850422942635724e-05      
MWEBV         All|All|All                              All                  All      -1.032391429145969         -3.8694999636931016        0.01315280107616612        -0.92355263869697          
Redshift      All|All|All                              All                  All      5.88559844982223           0.8649712533175702         9.688600386292928          -1.2030257145219962        
