#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4654.520774505672    All      -0.33839447658571736       0.4448994301823994        0.10534014796034359        0.2598454420321446        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5204.905485415367    All      0.558461854724574          0.22524597151658554       -0.03577466898071422       -0.11013583480727893      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7366.55742246646     All      0.39373263539104764        -0.03432030535792663      0.14513812146382962        -0.13295407755974906      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3482.025539361158    All      -0.2496489562587099        0.0908623365935668        -0.030195569086271492      0.10956824100568648       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4260.796263726012    All      -0.48277563865195566       0.29121465969863536       -0.13512074162203785       0.24608428558578888       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6025.059183116523    All      1.112765548380541          -0.01984304664039982      -0.048863022341736076      -0.3711084133816803       
Check         All|All|All                              All                  All      0.9941409669997796         0.9980590459928607        0.0005242673934135605      0.0012996428749116329     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4654.520774505672    All      -8.85650180884939e-05      -6.690774293364194e-05    -0.0008464989212739489     -3.072087200641012e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5204.905485415367    All      0.00015497539672457736     4.203064705241476e-05     -0.000550728855174147      -6.136632014039764e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7366.55742246646     All      -0.00011580995631456824    -5.10267090465079e-07     -0.00022184375831405708    2.7657033985367214e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3482.025539361158    All      -0.00045835681213673274    0.0001278257737049106     -0.00026354759447355056    0.0001791780343318459     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4260.796263726012    All      -0.0002473042476217404     8.313806227506401e-05     -0.0005040446526547967     8.514273370784928e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6025.059183116523    All      -0.0001619795662707583     -1.880475390139879e-05    -0.00046107672627412975    2.6061010055310652e-05    
MWEBV         All|All|All                              All                  All      -1.0120176810289876        -3.8794776094782435       0.006038041341556926       -0.9337565852721377       
Redshift      All|All|All                              All                  All      5.8579271643786415         0.6012438884292592        8.98622651775498           -1.3112606654778338       
