#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4763.758122334521     All      -0.3036234064169068        0.4834805597878855         0.08428819328767378        0.26014705168899144       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3563.7454958119965    All      -0.2955243123089358        0.10224868987034341        -0.15930086669238008       0.1224588871147958        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6166.461814571186     All      1.133064340853193          -0.08146445449499495       0.022180041875197176       -0.3946221920557935       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4360.793257194781     All      -0.5452696252420758        0.34898632326516577        -0.06220807611045931       0.28851252185019827       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7539.443791320322     All      0.3077255078954327         -0.037553070496532115      0.11597865890538017        -0.10729299743385268      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5327.059859296529     All      0.697328095209283          0.182664395168608          -0.0014305899957545165     -0.16770673969709882      
Check         All|All|All                              All                   All      0.9937005999899903         0.9983624431004756         -0.0004926387303427759     0.0014965314672404917     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4763.758122334521     All      -0.00019511741621413566    1.690478477045231e-05      -0.0011950619674455426     1.573247929789858e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3563.7454958119965    All      -0.0006329007681755972     0.00019265775942996701     -0.00047411306604280373    0.00024775408389501635    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6166.461814571186     All      -0.00010471970216066545    -3.0298847768921612e-05    -0.0005253640788856571     7.967347180484769e-07     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4360.793257194781     All      -0.00033689586080465535    0.0001287007997642042      -0.0005264995302638313     0.00012816489411163345    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7539.443791320322     All      -6.507302564876093e-05     6.706397279202046e-06      -5.152267802874805e-05     2.108169903518713e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5327.059859296529     All      0.0002795340709721352      3.518796999872504e-05      -0.0006842921737688481     -0.0001101283807100138    
MWEBV         All|All|All                              All                   All      -1.0615397319674154        -4.0006482136745625        -0.050101776729916114      -0.9596001384752917       
Redshift      All|All|All                              All                   All      5.031731840677203          -0.28841465419642276       5.6678907125479405         -1.480014810180638        
