#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4763.758122334521     All      -0.2988138259046055        0.49234281026730997        0.20208606583397287        0.26672391765184683       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3563.7454958119965    All      -0.2861957759578077        0.10026871924990743        -0.12413633431464345       0.12034456593049153       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6166.461814571186     All      1.1016118086651912         -0.07686903283854463       -0.09046725366736302       -0.38790711897594937      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4360.793257194781     All      -0.5225942576958614        0.3270848282609151         -0.102833414770237         0.2721794489033401        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7539.443791320322     All      0.3001167803416335         -0.03708983853947245       0.07890127945048592        -0.10631828781641349      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5327.059859296529     All      0.7000856463917969         0.19242362135329927        0.03583937909006959        -0.1637628762551004       
Check         All|All|All                              All                   All      0.994210375840347          0.9981611077534147         -0.0006102783777150941     0.0012596494382152157     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4763.758122334521     All      -8.752292306702099e-05     -9.463202687426846e-05     -0.0009640508403596345     -4.533683027248125e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3563.7454958119965    All      -0.0004833443983509049     0.00013462181313726816     -0.0003450939202504458     0.00018589196886445016    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6166.461814571186     All      -0.00021492777557788442    -1.4734469566752623e-05    -0.00043660792719599537    4.5725739408886136e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4360.793257194781     All      -0.00022403101824157963    6.208987698342385e-05      -0.0004896629799065369     7.134757882013288e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7539.443791320322     All      -7.452447052095422e-05     6.478845963868728e-06      -5.943476171323673e-05     2.373314466778812e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5327.059859296529     All      0.00016774324457876887     6.978909928364111e-06      -0.0006404707891468318     -8.094750252883412e-05    
MWEBV         All|All|All                              All                   All      -1.063339332345595         -3.999256997716394         -0.05179315887154267       -0.9586362632365474       
Redshift      All|All|All                              All                   All      5.066409687436662          0.7477422263608702         3.994262777788872          -1.2284864692243376       
