#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4633.648638241322    All      -2.3922433087592334       1.2601464644760085        -0.5483030610383688       1.165235261847878          
Zeropoint     AB|PS|PS_i                5612.352041246477    All      3.392169536160225         -0.2591553046698891       0.5488650991727795        -1.1648632971477015        
Check         All|All|All               All                  All      0.9999262274009918        1.0009911598061194        0.0005620381344106917     0.00037196470017653027     
Lambda        AB|PS|PS_r                4633.648638241322    All      0.00027495422390576697    -0.0003062151156422711    -0.0009513675236375041    -0.00023176113690109973    
Lambda        AB|PS|PS_i                5612.352041246477    All      -0.0006017342160361074    4.5832268497715554e-05    -5.499377339137936e-05    0.00020847958878801438     
MWEBV         All|All|All               All                  All      -0.353085296885586        -2.797094519118204        -0.006920319056780144     -0.7964030312519209        
Redshift      All|All|All               All                  All      5.747960395798266         1.1849742300260147        1.6937475318330453        -1.4107305387332651        
