#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3541.4824540561463    All      -0.2548821259264782       0.044506300891100636       -0.053183492605501925      0.09514732518912869       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4733.998492720976     All      0.12934484796649665       0.3618644266413895         0.6564487735949198         0.10503357024670909       
Zeropoint     VEGAHST|UVOT|UVOT_u                      3422.57076070032      All      -0.24022428327473988      0.0766292857591111         -0.0938702670040259        0.09902063272127018       
Zeropoint     VEGAHST|UVOT|UVOT_v                      5330.0546831877655    All      0.35838219498390866       0.13453344674214662        0.12226274869708842        -0.0674588767655573       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7492.344201257198     All      0.20763634748363713       -0.030480584069891847      0.045697569188396514       -0.07552324578981064      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4333.55098568924      All      -0.3501318814365535       0.10651238274625996        -0.4779751356897455        0.12741422494896362       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6127.9393676049285    All      0.4976301130540173        -0.07379268793457072       -0.41163157454688903       -0.20450043215032956      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5293.781232575624     All      0.8887101409899465        0.20476403622264883        0.29868257668661524        -0.20945491588313728      
Zeropoint     VEGAHST|UVOT|UVOT_b                      4290.101778092077     All      -0.24282857451140644      0.17187026731857458        -0.08400658639795555       0.13133222784803295       
Check         All|All|All                              All                   All      0.993636779328828         0.9964068743167687         0.002424611922902109       0.0010105103652697789     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3541.4824540561463    All      -0.0003661274210481518    5.7415805625888996e-05     -1.0171003365031881e-07    0.00013795742423434226    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4733.998492720976     All      -0.0002460532938579304    -6.741131807480678e-06     -0.0008566795747984038     3.972216947982684e-05     
Lambda        VEGAHST|UVOT|UVOT_u                      3422.57076070032      All      -6.448441216248267e-05    -5.316717593494627e-05     -7.779373568276263e-05     2.148190355042062e-07     
Lambda        VEGAHST|UVOT|UVOT_v                      5330.0546831877655    All      0.0002621152131698386     2.0621555281392198e-05     -1.8095866741231198e-06    -7.874318282175937e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7492.344201257198     All      3.1546765172090754e-05    -5.479290853695037e-06     -1.8799993263049626e-05    -1.289956192274384e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4333.55098568924      All      -0.0003635183577844565    7.71798535361585e-05       -0.0007831700659511961     0.00010860062289423489    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6127.9393676049285    All      -7.453912751489074e-05    6.071265696545e-06         -3.7684226175791705e-05    2.4575783135293902e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5293.781232575624     All      0.00022847170753388576    2.8455041993589078e-05     -0.000942450057957792      -0.0001072092258894183    
Lambda        VEGAHST|UVOT|UVOT_b                      4290.101778092077     All      -7.81838783328277e-05     -3.0420597381975867e-05    -0.0001825433054347093     7.412002640487513e-06     
MWEBV         All|All|All                              All                   All      -1.2684411667156632       -3.9190952526485745        -0.07801143570078661       -0.8668865317993223       
Redshift      All|All|All                              All                   All      5.3574390773652425        -0.23023537680622042       9.15380910927166           -1.411596940130699        
