#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3541.4824540561463    All      -0.2130337561895413        0.04717013771173839        -0.047462318597674275      0.08263894340501574       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4733.998492720976     All      0.017998050644727315       0.34507720843617307        0.4731196644051137         0.12765359993972195       
Zeropoint     VEGAHST|UVOT|UVOT_u                      3422.57076070032      All      -0.19918792944736718       0.06282915880575501        -0.08196895454910641       0.0816896877784673        
Zeropoint     VEGAHST|UVOT|UVOT_v                      5330.0546831877655    All      0.3562508973609624         0.15751643689956296        0.1785052690510575         -0.05676848162912201      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7492.344201257198     All      0.28137760041703097        -0.04122825390693308       0.11425520176202102        -0.09998465527119452      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4333.55098568924      All      -0.36897947115190693       0.13103577535442668        -0.4141353362719001        0.14439045779709556       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6127.9393676049285    All      0.6985292699153197         -0.09928610761225087       -0.45614538188045206       -0.28023038920038845      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5293.781232575624     All      0.7034421444634218         0.2063021344886451         0.31410174433615673        -0.14791793843671766      
Zeropoint     VEGAHST|UVOT|UVOT_b                      4290.101778092077     All      -0.2830705424789931        0.18786932006369383        -0.08076401748242243       0.14979647952690395       
Check         All|All|All                              All                   All      0.9933262635336536         0.9972858102408111         -0.0004941292272063469     0.0012677039097818421     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3541.4824540561463    All      -0.0004251162278086071     8.127096863309956e-05      -0.0001718194677698995     0.00015727945581668745    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4733.998492720976     All      -0.00034951126525419875    -2.0934122508270015e-05    -0.0013576957610826716     4.6440659113225644e-05    
Lambda        VEGAHST|UVOT|UVOT_u                      3422.57076070032      All      -8.392474434444733e-05     -4.413249631817487e-05     0.00016105049858199637     2.01485883817609e-05      
Lambda        VEGAHST|UVOT|UVOT_v                      5330.0546831877655    All      0.00018055465756130131     4.9960348145523006e-05     -2.930468292721423e-05     -4.384659640938327e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7492.344201257198     All      -1.4170096238468127e-06    -5.229881216891221e-07     -0.00010314861730350085    -4.311836830104863e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4333.55098568924      All      -0.00035156050868055135    8.805611176103494e-05      -0.0007234939801563162     0.00011091138278832931    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6127.9393676049285    All      -0.00010491985925007535    8.060454295682694e-06      -0.0003798666593780693     1.984970072018324e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5293.781232575624     All      0.0001290262098105772      6.436969665483475e-05      -0.0011772700030976476     -7.359690670362221e-05    
Lambda        VEGAHST|UVOT|UVOT_b                      4290.101778092077     All      -0.0001538998340005729     -1.956611387007123e-05     -0.00016254162964826125    3.6503425690127e-05       
MWEBV         All|All|All                              All                   All      -1.1832488226566706        -3.930853424908598         -0.09946678806053082       -0.899423958376619        
Redshift      All|All|All                              All                   All      6.9246395162388135         -0.500991591591049         12.046797560052305         -1.8811791016621164       
