#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3563.5692115135616    All      -0.46770773406884236       0.24897621250463686        -0.05313654740053987      0.23107629953733072        
Zeropoint     AB|PS|PS_i                5481.349695666096     All      1.0372024184078161         0.5138920611889475         1.324369663823852         -0.11135886425895795       
Zeropoint     AB|PS|PS_r                4525.490982459249     All      -0.5587803292126787        0.39854887063413           -0.6281533867959176       0.2838020149367323         
Zeropoint     AB|PS|PS_z                6299.408287057669     All      0.9844827685604016         -0.16054679641346326       -0.6294945029946708       -0.401065248170728         
Check         All|All|All               All                   All      0.9951971236866965         1.0008703479142511         0.013585226632723768      0.002454202044377074       
Lambda        AB|PS|PS_g                3563.5692115135616    All      -0.000977307475022981      0.0004375675613364069      -0.0006200178474431589    0.00043320279845592024     
Lambda        AB|PS|PS_i                5481.349695666096     All      -6.980528548656032e-06     -5.2259617195479446e-05    -0.0010590504919286614    -6.200944822184042e-05     
Lambda        AB|PS|PS_r                4525.490982459249     All      -0.00010408115738786441    -0.00017184710383516614    -0.0012163798139178295    -7.635504265604052e-05     
Lambda        AB|PS|PS_z                6299.408287057669     All      0.00011897577526772733     -0.00010265730761553885    -0.0007623372266177466    -0.00010621279574263761    
MWEBV         All|All|All               All                   All      -0.41910760593472096       -2.6459391981475733        0.06713379005496078       -0.7223564374512452        
Redshift      All|All|All               All                   All      3.438134153973131          -0.752337161248029         -5.415843442101227        -1.6066585885306282        
