#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3563.5692115135616    All      -0.373163433185459        0.2710684667433405         0.36839890243477447       0.22628747542748004        
Zeropoint     AB|PS|PS_i                5481.349695666096     All      1.0701829122993036        0.5050810233128367         1.0880749422285119        -0.1355164892186192        
Zeropoint     AB|PS|PS_r                4525.490982459249     All      -0.5523298660141525       0.25055796700179656        -1.5106135777089635       0.1941152354624824         
Zeropoint     AB|PS|PS_z                6299.408287057669     All      0.8212220102368838        -0.04748345805998255       -0.12232337672455351      -0.28842468107756686       
Check         All|All|All               All                   All      0.965911623336576         0.9792239989979912         -0.17646310977023072      -0.003538459406223604      
Lambda        AB|PS|PS_g                3563.5692115135616    All      -0.0011768833999535972    0.000137302075935974       -0.0030327646519712915    0.00029273508748192326     
Lambda        AB|PS|PS_i                5481.349695666096     All      -0.0002845544155435591    -0.00018942804920194423    -0.0022862849625911105    -7.104061027145513e-05     
Lambda        AB|PS|PS_r                4525.490982459249     All      -0.0002303955801036788    -0.00030251004684537055    -0.00223388860500479      -0.00012317824287535765    
Lambda        AB|PS|PS_z                6299.408287057669     All      0.00041170659087735634    5.0633560454898495e-05     0.0007472609906339041     -8.426653899205633e-05     
MWEBV         All|All|All               All                   All      -0.4404568575443548       -2.6232335815759455        0.1374093720278302        -0.7048702410631199        
Redshift      All|All|All               All                   All      4.3516143478923555        0.22371147709794315        0.5244500130556551        -1.3211899736175203        
