#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3634.440135504183    All      -0.8154959687314985        0.4107756816450703        -0.7040346465534864       0.36801918690512747       
Zeropoint     AB|PS|PS_r                4615.492244789689    All      -0.05984655019722207       0.37888007452604455       1.0453669502914265        0.18955762114436225       
Zeropoint     AB|PS|PS_i                5590.360716524751    All      1.243038725451766          0.20483022985846588       0.01774701767793818       -0.33738669516984454      
Zeropoint     AB|PS|PS_z                6424.688549457382    All      0.6254222916173038         0.0038232091052137207     -0.3776129683656593       -0.21932640364110273      
Check         All|All|All               All                  All      0.9931184981403491         0.9983091951347944        -0.01853364694978099      0.0008637092385424538     
Lambda        AB|PS|PS_g                3634.440135504183    All      -0.0016193155830787655     0.0007440871946056374     -0.0014638707601491968    0.0007045122096234408     
Lambda        AB|PS|PS_r                4615.492244789689    All      -2.605192552240619e-05     -7.532992820151016e-05    -0.0005405687288622057    -4.017456629746781e-05    
Lambda        AB|PS|PS_i                5590.360716524751    All      -0.00016806155859407486    6.496951522030363e-05     -0.001816883484661762     -5.173278040483032e-06    
Lambda        AB|PS|PS_z                6424.688549457382    All      9.128708220218054e-05      1.3439250091446799e-05    -9.008961478310887e-05    -2.93778857772051e-05     
MWEBV         All|All|All               All                  All      -0.4448129101482494        -2.732197628435351        -0.01897044994851882      -0.7459230195211886       
Redshift      All|All|All               All                  All      7.516076120111168          -1.1113431593603451       15.385180811595433        -2.1236643349455826       
