#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3634.440135504183    All      -0.8482703874153051        0.3842306692609654         -0.8335221395309889       0.36426987738127853       
Zeropoint     AB|PS|PS_r                4615.492244789689    All      0.07132347603317041        0.33209151523401204        1.2289488812524907        0.13978307359362635       
Zeropoint     AB|PS|PS_i                5590.360716524751    All      1.2496053842383517         0.24544367433421144        0.15799706601926022       -0.3200378214526064       
Zeropoint     AB|PS|PS_z                6424.688549457382    All      0.5197870357788454         0.03715175057941167        -0.5714593176406195       -0.182711795347296        
Check         All|All|All               All                  All      0.9924455086350625         0.9989176094086005         -0.01803550989985747      0.001303334175002474      
Lambda        AB|PS|PS_g                3634.440135504183    All      -0.0016306361630941625     0.0006418045486497984      -0.0021416805450434166    0.00064463533455147       
Lambda        AB|PS|PS_r                4615.492244789689    All      -0.00020995081568721426    -0.00010179708325343819    -0.0015069441533158354    -3.201876761253857e-05    
Lambda        AB|PS|PS_i                5590.360716524751    All      -0.00027616167320063887    1.7889862282300498e-05     -0.0018940348677951937    1.1260181952768022e-05    
Lambda        AB|PS|PS_z                6424.688549457382    All      1.29667587135913e-05       -2.6241172794039544e-06    -0.0007802270883586868    -3.989641273554898e-05    
MWEBV         All|All|All               All                  All      -0.471398623641472         -2.722742727589633         -0.05142328330132533      -0.735631626632066        
Redshift      All|All|All               All                  All      7.0781337674162925         -0.5120381306120692        13.388938824853188        -1.8748818498447803       
