#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            8002.109329091563     All      0.1519630545741798        -0.01292535403578654       0.09982607211352543       -0.049254800237919664      
Zeropoint     AB|SDSS|SDSS_r            5550.20121638405      All      0.7722881670391254        0.3275935717624634         -0.6565665780302993       -0.17415121057550914       
Zeropoint     AB|SDSS|SDSS_u            3230.1599131359444    All      -0.1320569356476547       0.07173270229259288        0.042236659468497806      0.06826581768320254        
Zeropoint     AB|SDSS|SDSS_i            6730.589051241734     All      0.8695483160215841        -0.02459081088357351       0.4572198692335506        -0.2708469071075444        
Zeropoint     AB|SDSS|SDSS_g            4247.491182583488     All      -0.6696433213584486       0.6385940270337898         0.05806202239506666       0.42872698549197474        
Check         All|All|All               All                   All      0.9920992806287862        1.000404136169486          0.0007780451803412122     0.0027398852542040997      
Lambda        AB|SDSS|SDSS_z            8002.109329091563     All      6.686903798117401e-06     -2.1481596090010064e-07    1.74692241179603e-05      -1.4685459462074725e-06    
Lambda        AB|SDSS|SDSS_r            5550.20121638405      All      2.9810877283333774e-05    -1.309522620430122e-05     -0.001228181883537856     -6.878404610173332e-05     
Lambda        AB|SDSS|SDSS_u            3230.1599131359444    All      -9.19457405307935e-05     4.917513047733164e-05      2.3172918608879404e-05    4.700181135424808e-05      
Lambda        AB|SDSS|SDSS_i            6730.589051241734     All      -0.0004760759458637396    -5.144319900333362e-06     -0.0005977117383177706    0.0001267247940761797      
Lambda        AB|SDSS|SDSS_g            4247.491182583488     All      -0.0004265891088177149    0.00028051935065492287     -0.0005375015523591406    0.00020634226280111904     
MWEBV         All|All|All               All                   All      -0.8244445782066383       -3.5074261271821783        0.09694306535903682       -0.8696092342089096        
Redshift      All|All|All               All                   All      2.5738213631345417        0.30850080408857394        -1.725519771389159        -0.8148914552854342        
