#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            8002.109329091563     All      0.17923976420664392       -0.020748255972335983     0.10653698918934584        -0.06038842106190212      
Zeropoint     AB|SDSS|SDSS_r            5550.20121638405      All      0.7668033861087561        0.30852634322151573       -0.70941755951546          -0.18093395717943273      
Zeropoint     AB|SDSS|SDSS_u            3230.1599131359444    All      -0.150584386956313        0.08083518911679022       0.04015556828110278        0.07717292798945091       
Zeropoint     AB|SDSS|SDSS_i            6730.589051241734     All      0.9915331884101332        -0.0619770731912439       0.5038427267447437         -0.3206787648330121       
Zeropoint     AB|SDSS|SDSS_g            4247.491182583488     All      -0.7951968963216018       0.6946846905128368        0.06054760354327893        0.488005409941325         
Check         All|All|All               All                   All      0.9917950554476183        1.0013208936875628        0.0016653282430112437      0.0031771948564289776     
Lambda        AB|SDSS|SDSS_z            8002.109329091563     All      7.007023613609038e-06     9.496079631217765e-07     2.491595272608005e-05      -8.612150250860892e-07    
Lambda        AB|SDSS|SDSS_r            5550.20121638405      All      8.901039103333892e-05     -4.445782978366799e-06    -0.0012779054050533528     -8.746879951270849e-05    
Lambda        AB|SDSS|SDSS_u            3230.1599131359444    All      -9.834122392451958e-05    4.613453644874875e-05     -7.592092309013432e-07     4.7026628243855e-05       
Lambda        AB|SDSS|SDSS_i            6730.589051241734     All      -0.000514705638760918     8.025000758854544e-06     -0.0006849678552678925     0.0001397035971817822     
Lambda        AB|SDSS|SDSS_g            4247.491182583488     All      -0.0005068330727917562    0.0003694994741583847     -0.00035987452041878016    0.00026939079402370296    
MWEBV         All|All|All               All                   All      -0.7431685655448628       -3.552516579874876        0.08761720580816312        -0.9111871195877183       
Redshift      All|All|All               All                   All      2.3231559173968788        0.10173326923563764       -2.104100822207855         -0.8174867950500708       
