#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     AB|PS|PS_r                4736.657670942742     All      -0.28591848143217347       0.21900087167932014        -0.23183361975730704      0.15412317498525815      
Zeropoint     AB|PS|PS_z                6593.348810315671     All      0.6832847959033168         -0.16713824834742042       -0.5034583963794418       -0.29947779952922504     
Zeropoint     AB|PS|PS_g                3729.8510829157494    All      -0.6237906203831223        0.4524861717509765         -0.025948927241020405     0.3494207782091463       
Zeropoint     AB|PS|PS_i                5737.118289204384     All      1.2260792565058354         0.49536277224433434        0.7739727036070146        -0.20347955174831925     
Check         All|All|All               All                   All      0.9996549505938563         0.9997115673272106         0.012731760229245381      0.0005866019168601633    
Lambda        AB|PS|PS_r                4736.657670942742     All      -9.379869500634356e-06     9.081839578697495e-06      -4.310882350472764e-06    5.821211139191232e-06    
Lambda        AB|PS|PS_z                6593.348810315671     All      -0.00041095648992551837    5.242992873916731e-05      0.0001846547871227565     0.0001591804965799685    
Lambda        AB|PS|PS_g                3729.8510829157494    All      -0.0009437136020998734     0.0006988699422856903      -3.127827071030459e-05    0.0005336476942339583    
Lambda        AB|PS|PS_i                5737.118289204384     All      -0.00025385515505779846    -0.00015471849147024986    7.959308105660641e-05     3.584394647957774e-05    
MWEBV         All|All|All               All                   All      -0.47281696229904524       -2.838854678484992         -0.002930927834777219     -0.770827118338538       
Redshift      All|All|All               All                   All      4.266411265775151          0.5245082961536696         -3.0183077110719463       -1.353554112716071       
