#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6684.1271686762975    All      0.9776202726309801         0.022604109701340747      1.416754567457723         -0.2478569339374369       
Zeropoint     AB|PS|PS_r                4801.872786941415     All      -0.12890123615739657       0.48204564958815865       0.1956448980477088        0.20773623347820563       
Zeropoint     AB|PS|PS_i                5816.107918753463     All      0.7569989484427924         0.11036362282474954       -1.6448863731352015       -0.2840341233672852       
Zeropoint     AB|PS|PS_g                3781.204312962817     All      -0.6094371606039717        0.38431613447684754       0.03615270513115387       0.32531147090677115       
Check         All|All|All               All                   All      0.9962808243124042         0.9993295165910965        0.0036657975013842936     0.0011566470802547024     
Lambda        AB|PS|PS_z                6684.1271686762975    All      -0.001084727345705558      -8.526851912439582e-06    -0.0015557901069453263    0.0002811261397855404     
Lambda        AB|PS|PS_r                4801.872786941415     All      -0.00016118059140678785    1.2571332026924467e-05    -0.0006722984408648406    2.6595126070107216e-05    
Lambda        AB|PS|PS_i                5816.107918753463     All      -0.00022818263827207842    3.2716048141749474e-05    0.001160306437572451      0.00013676243269096212    
Lambda        AB|PS|PS_g                3781.204312962817     All      -0.0009897373267947923     0.000672392838513503      0.0003190124694168253     0.0005556465386379154     
MWEBV         All|All|All               All                   All      -0.4712076376273342        -2.904444739438361        0.030221063641922008      -0.7912367479127309       
Redshift      All|All|All               All                   All      6.783951450709463          -0.4036534136373504       3.2257731082644625        -2.1972879311122417       
