#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6684.1271686762975    All      0.9895522005417426        -0.005947131531414129     1.3202314433002047        -0.26535101770066083      
Zeropoint     AB|PS|PS_r                4801.872786941415     All      -0.1629451182944628       0.49985059485049277       0.1625778278769615        0.22314947086778478       
Zeropoint     AB|PS|PS_i                5816.107918753463     All      0.7918870557226655        0.08735225647011902       -1.6816982087931722       -0.3045366299209157       
Zeropoint     AB|PS|PS_g                3781.204312962817     All      -0.6234375151477526       0.4185074781288378        0.19978264405914636       0.3483111451181412        
Check         All|All|All               All                   All      0.9950566228221928        0.9997631979180355        0.0008937064431402408     0.001572968364349503      
Lambda        AB|PS|PS_z                6684.1271686762975    All      -0.0010122117167400844    1.186949493676393e-05     -0.0014071783899267183    0.00027078103330843256    
Lambda        AB|PS|PS_r                4801.872786941415     All      -0.0001541233385853489    1.9196668229544098e-06    -0.000814042399191764     1.4501367009456557e-05    
Lambda        AB|PS|PS_i                5816.107918753463     All      -0.0002218570065997815    2.4692827419447177e-05    0.0009402854698151239     0.00012227001413156374    
Lambda        AB|PS|PS_g                3781.204312962817     All      -0.0010424743076626571    0.0006157189864460422     1.8227087877311846e-05    0.000540941500048173      
MWEBV         All|All|All               All                   All      -0.46564243727621024      -2.9054776923782555       0.04277925848716666       -0.7928255689541706       
Redshift      All|All|All               All                   All      7.0458658558842675        -0.056944493794830464     5.566581251480125         -2.065208051539518        
