#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                6358.871456165706     All      0.5537791665192735         -0.2574008102527614        -0.9168988153625712        -0.30514498842889487       
Zeropoint     AB|PS|PS_r                4568.209286040197     All      -0.5820618912475803        0.4427072306707025         -0.5533539500371443        0.30910737158410234        
Zeropoint     AB|PS|PS_g                3597.2074691079747    All      -0.42643397209475387       0.17180390678155355        -0.1636879612321812        0.1875611166734523         
Zeropoint     AB|PS|PS_i                5533.090813091891     All      1.424514910003949          0.6191204982680887         1.4970901379401795         -0.19553519962151653       
Check         All|All|All               All                   All      0.9697982131808882         0.9762308254675833         -0.1368505886917173        -0.00401169979285676       
Lambda        AB|PS|PS_z                6358.871456165706     All      0.00016455645875231392     -8.063492898368556e-05     -0.00025861509971248416    -9.140770566664815e-05     
Lambda        AB|PS|PS_r                4568.209286040197     All      -0.00013914544244829737    -0.00023054429451501536    -0.001857337055207776      -0.00011265603538442454    
Lambda        AB|PS|PS_g                3597.2074691079747    All      -0.001008634673685152      0.00046553432942976155     -0.00033825267272857335    0.00046509067978863156     
Lambda        AB|PS|PS_i                5533.090813091891     All      -8.036156541125095e-05     4.0079310883982654e-05     0.00042560993512389463     5.8224572445344365e-05     
MWEBV         All|All|All               All                   All      -0.4700929692309215        -2.707249720752891         -0.16355424575429378       -0.7360142290522176        
Redshift      All|All|All               All                   All      3.153207632531089          -0.07463469132442668       -3.3954380268094275        -1.2029372421916638        
