#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                6358.871456165706     All      0.5682548733253368         -0.2477602592747985       -0.7960761302144971        -0.3013281962343718        
Zeropoint     AB|PS|PS_r                4568.209286040197     All      -0.594442991271673         0.40205480376247493       -0.5830159919274953        0.29857478962217626        
Zeropoint     AB|PS|PS_g                3597.2074691079747    All      -0.5506456882937094        0.2673704929240017        0.030315256137870308       0.26780761280410403        
Zeropoint     AB|PS|PS_i                5533.090813091891     All      1.5764725701961209         0.5777385100055099        1.3578292811463215         -0.26472685624546094       
Check         All|All|All               All                   All      0.9996387639560753         0.9994035474171881        0.009052415142199344       0.00032734994644756377     
Lambda        AB|PS|PS_z                6358.871456165706     All      0.00010271217715664627     -6.83583352910717e-05     -0.00025739781030982887    -6.72097760456562e-05      
Lambda        AB|PS|PS_r                4568.209286040197     All      -1.0213492530723473e-06    -5.253031459527626e-05    -0.00040282724762687514    -3.4754494549539354e-05    
Lambda        AB|PS|PS_g                3597.2074691079747    All      -0.0010678554189102925     0.0005401194534916577     0.00010356232930590773     0.0005283918278556546      
Lambda        AB|PS|PS_i                5533.090813091891     All      -2.9454723745771152e-05    8.157010229340681e-05     0.00070856323194014        6.778436117751699e-05      
MWEBV         All|All|All               All                   All      -0.42676403273484986       -2.69209717678649         0.022761880787326504       -0.7368777740663767        
Redshift      All|All|All               All                   All      2.9842550944377306         -0.5688502156337094       -6.036078336458283         -1.4267257466339494        
