#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5959.585360317921    All      1.182437829757647          0.13122982105411296        -1.7861021725919468       -0.4221185688432022       
Zeropoint     AB|PS|PS_z                6849.01775850887     All      0.6466897499008457         -0.11786367790005414       1.2805824172302471        -0.19189369271672835      
Zeropoint     AB|PS|PS_g                3874.482761099431    All      -0.6738306345526759        0.4095060506726256         0.02954817250820918       0.35419699832538315       
Zeropoint     AB|PS|PS_r                4920.330083781947    All      -0.164560219284847         0.5783171636840834         0.45129494299879225       0.26211882415627524       
Check         All|All|All               All                  All      0.9907367258209697         1.0011893575107678         -0.024676639854698257     0.0023035609217277875     
Lambda        AB|PS|PS_i                5959.585360317921    All      -0.00025811782022329064    -1.2818891528076185e-05    0.0006736909502090562     0.00010996566412829158    
Lambda        AB|PS|PS_z                6849.01775850887     All      -0.0007156581391593584     0.0001443135480230646      -0.0016204701180248737    0.00020780693192606363    
Lambda        AB|PS|PS_g                3874.482761099431    All      -0.000857526489331214      0.0004298535358130136      -0.0003783082467422539    0.0004024598681891006     
Lambda        AB|PS|PS_r                4920.330083781947    All      -0.0002015724902280905     -4.2888339888705214e-05    -0.0014541134712143455    -1.320175739966777e-05    
MWEBV         All|All|All               All                  All      -0.48679386183847706       -3.019783082060634         0.08118500446330223       -0.8214550080165097       
Redshift      All|All|All               All                  All      7.628291139172149          -0.6835229867723669        21.648328143699636        -1.7413658535041259       
