#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                5959.585360317921    All      1.2081110805038304         0.14006097515384397       -1.6952571576749176        -0.4235505980297884       
Zeropoint     AB|PS|PS_z                6849.01775850887     All      0.698588007740556          -0.17108509074734712      1.222020835744947          -0.22874796221200175      
Zeropoint     AB|PS|PS_g                3874.482761099431    All      -0.6124421750837743        0.3834058837433929        0.044527517481223834       0.3263675337856987        
Zeropoint     AB|PS|PS_r                4920.330083781947    All      -0.3020985062592485        0.6481179720003283        0.4170025839805771         0.3281256782621876        
Check         All|All|All               All                  All      0.9921584069013636         1.000499740150218         -0.011706220468169715      0.0021946518060961817     
Lambda        AB|PS|PS_i                5959.585360317921    All      -0.00014457825624752057    -9.68334862665515e-07     0.0006761406199613332      7.695152648845529e-05     
Lambda        AB|PS|PS_z                6849.01775850887     All      -0.0006876924890560153     0.0001802231175954734     -0.0012065476972682521     0.0002288659844057779     
Lambda        AB|PS|PS_g                3874.482761099431    All      -0.0008460008619851059     0.0004721880691045653     -0.00017796279622672614    0.00042143583974156665    
Lambda        AB|PS|PS_r                4920.330083781947    All      -0.00019917264767373532    1.4147815922857393e-05    -0.0010256317401285413     2.3716259022469883e-05    
MWEBV         All|All|All               All                  All      -0.4869673921600626        -3.022749963939475        0.062201989639954956       -0.8232120192829768       
Redshift      All|All|All               All                  All      6.615272115677385          -1.1641674223318077       16.378333726686773         -1.8031295822322817       
