#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_b       4273.330481803951     All      0.27623945231708824        0.5329551180611958        2.0124799673417484        0.1734284759836896         
Zeropoint     VEGAHST|UVOT|UVOT_v       5309.217898666675     All      1.6382690212110798         0.34153545114703476       -0.9761475202558385       -0.46594976558276713       
Zeropoint     VEGAHST|UVOT|UVOT_u       3409.1909037030096    All      -0.922744077415605         0.12461067743485543       -1.0285797050986933       0.29525711245991515        
Check         All|All|All               All                   All      0.9917643961125632         0.999101246643086         0.007752741987216538      0.0027358228608376223      
Lambda        VEGAHST|UVOT|UVOT_b       4273.330481803951     All      -2.0387052681124924e-05    2.8401332134193488e-05    -0.0005016493922595453    -6.494326359687069e-06     
Lambda        VEGAHST|UVOT|UVOT_v       5309.217898666675     All      0.000609246801786371       0.00013726099490789353    0.00010354373529701969    -0.00014912062382501168    
Lambda        VEGAHST|UVOT|UVOT_u       3409.1909037030096    All      -0.00045224806801487263    -9.280208718546971e-05    -0.004117275245861126     -6.665170288389945e-05     
MWEBV         All|All|All               All                   All      -1.7525309239954452        -3.860107252331524        -0.43220089969467146      -0.7057940884671821        
Redshift      All|All|All               All                   All      -1.4215983226488382        -0.5398946322727305       -2.2259823935747867       0.18786452848741433        
