#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            8078.013640806982    All      0.19769241126945264        -0.02385948702929852      0.4274538610841816        -0.05309143952124374       
Zeropoint     AB|SDSS|SDSS_g            4287.780921385133    All      -0.6844053143802172        0.6208658349372342        -0.15404370806844092      0.41829549228406354        
Zeropoint     AB|SDSS|SDSS_u            3260.799717574252    All      -0.1252208535210464        0.08327284193079265       0.35009501464746684       0.08353638842297785        
Zeropoint     AB|SDSS|SDSS_i            6794.432309108323    All      0.9626345013286766         -0.049931992293394956     1.6538821853984698        -0.25602105349266485       
Zeropoint     AB|SDSS|SDSS_r            5602.847860648224    All      0.6445987454974229         0.3691354553422954        -2.255751917971871        -0.1903913038818482        
Check         All|All|All               All                  All      0.9952994901942886         0.9994826528876288        0.021635435089806254      0.0023280838112846036      
Lambda        AB|SDSS|SDSS_z            8078.013640806982    All      2.96187465299166e-05       -4.049347122101354e-06    9.229104557310848e-05     -6.848280263355731e-06     
Lambda        AB|SDSS|SDSS_g            4287.780921385133    All      -0.0003828067267440639     0.00015606119259251234    -0.00094332664857321      0.00013343067377265356     
Lambda        AB|SDSS|SDSS_u            3260.799717574252    All      -7.541528872252147e-05     4.727270210265948e-05     0.00022455649376883368    4.9984439893000384e-05     
Lambda        AB|SDSS|SDSS_i            6794.432309108323    All      -0.0007475486477069764     3.3695039065805815e-05    -0.0019790881131980134    0.00016615915806666266     
Lambda        AB|SDSS|SDSS_r            5602.847860648224    All      -0.00014133714672093968    4.5709733812534744e-07    -0.001294217404231259     -1.1567928443197873e-05    
MWEBV         All|All|All               All                  All      -0.7614559781944967        -3.571049817363381        0.5695517817638329        -0.8897606661456805        
Redshift      All|All|All               All                  All      5.2426239931286585         0.5677849189959616        6.457876049117672         -1.234563535962077         
