#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            8078.013640806982    All      0.18018161654776743       -0.021062465703991506      0.2794222214798951        -0.05308248791824539       
Zeropoint     AB|SDSS|SDSS_g            4287.780921385133    All      -0.6581712717242986       0.6297968107107366         -0.08898353689618246      0.41556265077532845        
Zeropoint     AB|SDSS|SDSS_u            3260.799717574252    All      -0.12278716716599422      0.07955511189585707        0.2910136288197889        0.07889613883067179        
Zeropoint     AB|SDSS|SDSS_i            6794.432309108323    All      0.9233951232252728        -0.05396099068750715       1.3699166376752832        -0.2572239526225623        
Zeropoint     AB|SDSS|SDSS_r            5602.847860648224    All      0.6719343502420565        0.3650255408185643         -1.8293646828770982       -0.181606440057868         
Check         All|All|All               All                  All      0.994552651124804         0.9993540070336593         0.02200426820168655       0.0025459090073245705      
Lambda        AB|SDSS|SDSS_z            8078.013640806982    All      1.2874215178473902e-05    -4.0504702204589557e-07    3.5871671269167106e-05    -2.724704637343291e-06     
Lambda        AB|SDSS|SDSS_g            4287.780921385133    All      -0.0004199461339473226    0.00017715345620253922     -0.0011288386725622284    0.00014412009511688488     
Lambda        AB|SDSS|SDSS_u            3260.799717574252    All      -8.338922470606818e-05    5.406081818735142e-05      0.00021520635769229886    5.437567227923926e-05      
Lambda        AB|SDSS|SDSS_i            6794.432309108323    All      -0.0006654187043367097    2.780876752007452e-05      -0.001405090576407907     0.00016310425501267134     
Lambda        AB|SDSS|SDSS_r            5602.847860648224    All      -9.143234802900854e-05    -2.333150143792404e-05     -0.000975915574749477     -2.1367943696936107e-05    
MWEBV         All|All|All               All                  All      -0.8053835486361121       -3.553227548911586         0.46969169398121696       -0.8741030091856832        
Redshift      All|All|All               All                  All      4.7892504141845595        0.6448121551041908         3.1310979920377777        -1.2102533661795418        
