#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6408.075498305088     All      0.9907877107201797         0.06257172128858457       0.4429747352000746         -0.2825825572342622       
Zeropoint     AB|SDSS|SDSS_g            4043.9616754433446    All      -0.7347251297980124        0.4917594861174379        -0.5119654893458003        0.3766597211319465        
Zeropoint     AB|SDSS|SDSS_z            7618.667598945126     All      0.09365867650094553        0.006094064075945482      0.12629236428844393        -0.022886826878659033     
Zeropoint     AB|SDSS|SDSS_r            5284.248994345019     All      0.7111008091518392         0.38966764333565607       -0.21206355071862193       -0.11416477923929455      
Zeropoint     AB|SDSS|SDSS_u            3075.3784605457286    All      -0.06598345132963107       0.04902831925548412       0.15779541633429983        0.04450480215730107       
Check         All|All|All               All                   All      0.9948386152453207         0.9991212340731082        0.003033475758396076       0.0015303599370318222     
Lambda        AB|SDSS|SDSS_i            6408.075498305088     All      -0.0002890580458746627     -4.508613262158712e-05    -0.00042766251245251417    6.038506483618279e-05     
Lambda        AB|SDSS|SDSS_g            4043.9616754433446    All      -0.0005580298809544389     0.00024520993672234767    -0.0011277750362984015     0.00021131421423579985    
Lambda        AB|SDSS|SDSS_z            7618.667598945126     All      -1.1877281364363227e-05    -3.10152479282319e-06     -3.4669559934358085e-05    1.3114094008250745e-06    
Lambda        AB|SDSS|SDSS_r            5284.248994345019     All      0.00013457974458983083     8.672633135022289e-05     -0.0009545627027646194     -5.818518029914033e-05    
Lambda        AB|SDSS|SDSS_u            3075.3784605457286    All      -6.347244606730063e-05     4.589958670981106e-05     0.00013924295632904987     4.183984292970408e-05     
MWEBV         All|All|All               All                   All      -0.7829604120416955        -3.238013533334083        0.3491551420863881         -0.7841103800737957       
Redshift      All|All|All               All                   All      5.538676757769028          -0.014969362325345514     0.7904603542826738         -1.77373063568653         
