#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6408.075498305088     All      1.0348349620744344         0.045882945547681686      0.38913307182687373        -0.3047689855656257       
Zeropoint     AB|SDSS|SDSS_g            4043.9616754433446    All      -0.7656620791246552        0.5324338595187328        -0.3087248241829304        0.409055582322582         
Zeropoint     AB|SDSS|SDSS_z            7618.667598945126     All      0.12920804590247126        0.009794992226730415      0.19886240775987538        -0.030022444238644277     
Zeropoint     AB|SDSS|SDSS_r            5284.248994345019     All      0.676598479311631          0.3597920133946886        -0.41666924685024          -0.12178832336658804      
Zeropoint     AB|SDSS|SDSS_u            3075.3784605457286    All      -0.08187816072738568       0.05286300321660775       0.14705679618112064        0.05045209935531172       
Check         All|All|All               All                   All      0.9931012474364955         1.0007668139044412        0.009658204734699333       0.0029279285070356806     
Lambda        AB|SDSS|SDSS_i            6408.075498305088     All      -0.00024376165054025881    -4.147628732342153e-05    -0.0004243622538192871     4.695365942788109e-05     
Lambda        AB|SDSS|SDSS_g            4043.9616754433446    All      -0.0006507936618214094     0.0003151122060112258     -0.0011253158301321392     0.00026440964140212776    
Lambda        AB|SDSS|SDSS_z            7618.667598945126     All      -8.863492098249836e-06     2.0530287172183801e-07    -6.1325645279802815e-06    2.6803366871786238e-06    
Lambda        AB|SDSS|SDSS_r            5284.248994345019     All      0.00013835383288310411     7.618446167724792e-05     -0.0012348434814023132     -7.535600265732023e-05    
Lambda        AB|SDSS|SDSS_u            3075.3784605457286    All      -6.880975115781131e-05     4.546732576382275e-05     0.00012948695812768697     4.300221178668638e-05     
MWEBV         All|All|All               All                   All      -0.7380924880949205        -3.2604090956194653       0.3380681162166394         -0.8065150734862753       
Redshift      All|All|All               All                   All      5.6811026226731265         -0.2974317655976222       1.4260108683169668         -1.8837690225769788       
