#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5852.118183709758     All      0.5666445639505804         -0.07688078927579056      -3.0449744946761497       -0.34550060553648326      
Zeropoint     AB|PS|PS_r                4831.603444240023     All      -0.03354554018156086       0.5622309344044396        1.2807049889196098        0.2512159798267059        
Zeropoint     AB|PS|PS_z                6725.511749861508     All      1.1106841866751394         0.07368945940164906       1.8818681239584685        -0.25380416752155704      
Zeropoint     AB|PS|PS_g                3804.6155307506833    All      -0.647874334486578         0.4405854544065946        -0.11507670315394339      0.3494118177723396        
Check         All|All|All               All                   All      0.9959088759575807         0.9996250589368927        0.0025219150479852404     0.001323024541005191      
Lambda        AB|PS|PS_i                5852.118183709758     All      -0.00010175741411582405    0.00010318560780311885    0.001777205017835452      0.00014606518220273613    
Lambda        AB|PS|PS_r                4831.603444240023     All      -7.443749460870242e-05     5.1164330567823e-05       -0.0003996086045230883    2.307994995337535e-05     
Lambda        AB|PS|PS_z                6725.511749861508     All      -0.0011792304282380833     4.6142098879967283e-05    -0.0022820803608039147    0.0002973053803543695     
Lambda        AB|PS|PS_g                3804.6155307506833    All      -0.0010939318163183497     0.0007041331016765689     -0.0004471086571806421    0.0005657364924954954     
MWEBV         All|All|All               All                   All      -0.4613763995857103        -2.9359491304312257       0.054628563516216186      -0.8036119275712684       
Redshift      All|All|All               All                   All      8.199523818026265          -0.5795654855244692       13.897136338098736        -2.2394728420948558       
