#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5852.118183709758     All      0.45014318619363225        -0.13446861112633712      -3.4309312504837264       -0.34353399955577846      
Zeropoint     AB|PS|PS_r                4831.603444240023     All      -0.19626619150285896       0.6363889009723067        1.1657367768740157        0.32324463547456217       
Zeropoint     AB|PS|PS_z                6725.511749861508     All      1.227611849520714          0.12740514362512556       2.3175859173479862        -0.2549503046315682       
Zeropoint     AB|PS|PS_g                3804.6155307506833    All      -0.4835207391762909        0.3716748631305222        -0.03155940870143148      0.2771569913077254        
Check         All|All|All               All                   All      0.9979681050351963         1.0010002966016174        0.020832035036844054      0.001917322594940929      
Lambda        AB|PS|PS_i                5852.118183709758     All      4.97853843593293e-05       0.00018408526526915425    0.0018384706997899986     0.00012578839308829146    
Lambda        AB|PS|PS_r                4831.603444240023     All      -0.00013270332542614707    0.00020821903632167456    6.974549400480393e-05     0.00011416205030178495    
Lambda        AB|PS|PS_z                6725.511749861508     All      -0.001225178474815064      9.382058048763293e-05     -0.0021928506462172083    0.00033178453315014307    
Lambda        AB|PS|PS_g                3804.6155307506833    All      -0.0010772525350252289     0.0008434273367232886     -0.0001116939485012412    0.0006206442347895269     
MWEBV         All|All|All               All                   All      -0.447600329674386         -2.944316381466372        0.06145835798171406       -0.8105199533382706       
Redshift      All|All|All               All                   All      8.199906118154074          -2.0897470845808286       12.787062097055623        -2.7810507151264763       
