#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                6144.5814278980815    All      1.3341287179982435         0.02126676056324328        -0.17670565361813861       -0.43552789315331775       
Zeropoint     AB|PS|PS_r                5073.065829922423     All      -0.12240944848435942       0.5154815824132797         -0.08387081054274023       0.20403932568510869        
Zeropoint     AB|PS|PS_g                3994.753557031496     All      -0.6916121167144479        0.524464852142259          0.0005272139243966884      0.39613980363659584        
Zeropoint     AB|PS|PS_z                7061.623380461609     All      0.4753470295962423         -0.06243211635883483       0.25482882866858647        -0.1638005200089514        
Check         All|All|All               All                   All      0.9954541823956788         0.9987810787599471         -0.0052204215678957056     0.0008507161594353829      
Lambda        AB|PS|PS_i                6144.5814278980815    All      -0.0003135168821258085     -2.2883863278991496e-05    -0.00038883243220269657    7.731693017428261e-05      
Lambda        AB|PS|PS_r                5073.065829922423     All      -0.00011471548464868283    -4.9172066657415715e-05    -0.0007964650083479829     -1.4192927736940248e-05    
Lambda        AB|PS|PS_g                3994.753557031496     All      -0.0005235439129173367     0.00034803941715978525     -0.00032202793120495235    0.00026953273729708255     
Lambda        AB|PS|PS_z                7061.623380461609     All      -0.0002503834507055484     3.8142160845461457e-05     -5.003439374592194e-05     9.174947869961518e-05      
MWEBV         All|All|All               All                   All      -0.5252881375360694        -3.153100431090472         0.04153082401738825        -0.8541115865355116        
Redshift      All|All|All               All                   All      6.886737949450122          -0.415342519650963         -4.781570253868426         -2.591907359570378         
