#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                    
Zeropoint     AB|PS|PS_i                6144.5814278980815    All      1.3227376607965788         0.01503007707093218       -0.2929614845467096        -0.4390369078529466      
Zeropoint     AB|PS|PS_r                5073.065829922423     All      -0.19863129394075096       0.5218265926275834        -0.06400787512867781       0.2318204585262884       
Zeropoint     AB|PS|PS_g                3994.753557031496     All      -0.7162732505122715        0.5532018822236751        -0.09241552261002178       0.40938573489849306      
Zeropoint     AB|PS|PS_z                7061.623380461609     All      0.5875238031217115         -0.09071521006838168      0.4470350418988814         -0.20097563923451023     
Check         All|All|All               All                   All      0.9953569194652679         0.9993433418538089        -0.002349840386527857      0.0011936463373246609    
Lambda        AB|PS|PS_i                6144.5814278980815    All      -0.0003087574882862788     -6.235924032727688e-05    -0.001206725440823061      2.640940148737543e-05    
Lambda        AB|PS|PS_r                5073.065829922423     All      -0.0001726822551986831     5.657944449966947e-06     -0.001111242240214065      8.501632814111771e-06    
Lambda        AB|PS|PS_g                3994.753557031496     All      -0.0007072210760417968     0.00047974320161294295    -0.00045554082562885857    0.0003663046203725036    
Lambda        AB|PS|PS_z                7061.623380461609     All      -0.00022520979708002517    4.9601278512805065e-05    2.0677333914769965e-05     9.04377427814833e-05     
MWEBV         All|All|All               All                   All      -0.5162268667254808        -3.158708107096686        0.06140200741596158        -0.8580029854577259      
Redshift      All|All|All               All                   All      7.184804741007421          -0.9869485953778678       -1.8965427763848595        -2.746442897964174       
