#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5637.877948979554     All      0.907772376273038          0.21255217516671365        -0.81528078559072         -0.2628383285772811       
Zeropoint     AB|PS|PS_z                6479.297444076987     All      1.012227050913067          0.07572897406600276        1.1732533904703115        -0.2526913232418996       
Zeropoint     AB|PS|PS_g                3665.3323346875623    All      -0.5096156042807208        0.4252439644814032         0.5584557952350414        0.3294358347587377        
Zeropoint     AB|PS|PS_r                4654.723240607317     All      -0.4131756331575658        0.2866212446939187         -0.9053396213196196       0.18754571652465687       
Check         All|All|All               All                   All      0.9972081897478188         1.0001463584080383         0.011088778795013243      0.0014518994642138405     
Lambda        AB|PS|PS_i                5637.877948979554     All      -0.00032489799596438897    -0.00019685907501487487    -0.0007757476584656359    7.088433791440392e-06     
Lambda        AB|PS|PS_z                6479.297444076987     All      -0.00017237312920969923    -8.969316533123401e-05     -0.0007132445277662888    -4.897243135347344e-06    
Lambda        AB|PS|PS_g                3665.3323346875623    All      -0.000914221714557962      0.0006353197678104098      0.0003767922947265064     0.0005215511487771672     
Lambda        AB|PS|PS_r                4654.723240607317     All      -8.216724955609415e-05     -9.372884998392262e-06     -0.0003355262950658418    8.738521867648713e-06     
MWEBV         All|All|All               All                   All      -0.44751288944890577       -2.7518831666906607        0.09809299987542842       -0.7462317707683458       
Redshift      All|All|All               All                   All      3.9584298256215376         0.2282402892893387         -0.5460301289669376       -1.2394122684041269       
