#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                5637.877948979554     All      0.6115888862545728         0.31347384896900365       -1.0638489145930574        -0.14458056631427296       
Zeropoint     AB|PS|PS_z                6479.297444076987     All      1.348221012457378          -0.049972009965593145     1.3365982954484767         -0.39579122343535167       
Zeropoint     AB|PS|PS_g                3665.3323346875623    All      -0.4586796611839551        0.35092602182213994       0.17257868863080894        0.271416600439256          
Zeropoint     AB|PS|PS_r                4654.723240607317     All      -0.5070529864214279        0.38665348858106796       -0.4419243457386923        0.2713885471127997         
Check         All|All|All               All                   All      0.9940772511065675         1.0010813494066184        0.003403723747535947       0.0024333578024310354      
Lambda        AB|PS|PS_i                5637.877948979554     All      -0.00016457134828037448    -0.0001956369242487825    -0.0010359909099186741     -5.6350596295526513e-05    
Lambda        AB|PS|PS_z                6479.297444076987     All      -2.950528356944116e-05     -0.0001181058057910837    -0.0007168000986303684     -6.084760121628763e-05     
Lambda        AB|PS|PS_g                3665.3323346875623    All      -0.0008384537547032171     0.0007447116812417801     0.0008102370892910203      0.0005518462270937678      
Lambda        AB|PS|PS_r                4654.723240607317     All      -0.00013070414381176953    0.00013395813497867293    -3.973330489086009e-05     8.443609642358132e-05      
MWEBV         All|All|All               All                   All      -0.4288867441323312        -2.781509466539589        -0.00023402146882567365    -0.7663370629799632        
Redshift      All|All|All               All                   All      2.254104392084725          -0.8937222213225127       -4.751053894209433         -1.2373684029035603        
