#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7464.696054882375     All      0.07974190617701696        -0.0036401965427756977     0.019735947207544235       -0.026279569365589284      
Zeropoint     AB|SDSS|SDSS_g            3962.234127258303     All      -1.05202071477501          0.42728092912813764        -1.0538645434449267        0.43482807864859696        
Zeropoint     AB|SDSS|SDSS_u            3013.2257594339076    All      -0.014755777226083094      0.08298301922220475        0.5065922860620797         0.05444362854683804        
Zeropoint     AB|SDSS|SDSS_r            5177.4555207743915    All      0.9723523941811916         0.6461752983520697         1.8194130860611835         -0.02505456125040384       
Zeropoint     AB|SDSS|SDSS_i            6278.569746002503     All      0.9973776819114105         -0.17452652029934512       -1.4453834594702064        -0.4462285785531511        
Check         All|All|All               All                   All      0.9826954902685261         0.9782725298602912         -0.15350668358432573       -0.008291001973709244      
Lambda        AB|SDSS|SDSS_z            7464.696054882375     All      -1.7265257063585497e-05    -3.3854681105963986e-06    -3.709060357291143e-05     2.8659206070033333e-06     
Lambda        AB|SDSS|SDSS_g            3962.234127258303     All      -0.0007882551391819685     0.0002953513739885096      -0.0007291766616306526     0.00032042648551370645     
Lambda        AB|SDSS|SDSS_u            3013.2257594339076    All      -3.7169706818504885e-05    5.0921250808345456e-05     0.00027381711802826315     4.0913323386554534e-05     
Lambda        AB|SDSS|SDSS_r            5177.4555207743915    All      0.00015354453203197173     -4.247083134766035e-05     -0.0012238855300596672     -0.00011846504267029529    
Lambda        AB|SDSS|SDSS_i            6278.569746002503     All      -0.00046695675381008286    -4.7661311227218246e-06    -0.00023602867386195267    0.00014001781575513796     
MWEBV         All|All|All               All                   All      -0.6665716935766866        -3.268384289429882         -0.20933823614527336       -0.8568377635847224        
Redshift      All|All|All               All                   All      5.687895788695007          0.26369172041036393        -5.44957790769559          -2.0100313490680586        
