#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7464.696054882375     All      0.09227715314971453        0.0038738005676108855      0.08850071675064097        -0.024846499800412324     
Zeropoint     AB|SDSS|SDSS_g            3962.234127258303     All      -1.0577021862379765        0.44254182729783764        -1.0931637056630195        0.43989595630618256       
Zeropoint     AB|SDSS|SDSS_u            3013.2257594339076    All      -0.011067173394740087      0.023057668300729972       0.10828255564340585        0.01594773674873507       
Zeropoint     AB|SDSS|SDSS_r            5177.4555207743915    All      0.8719037045836663         0.6702020555477972         1.9227619428469656         0.02010317170493982       
Zeropoint     AB|SDSS|SDSS_i            6278.569746002503     All      1.0993945782470265         -0.1398645335752846        -1.0204294536994543        -0.44920454298994666      
Check         All|All|All               All                   All      0.9948060763476906         0.9998108181386911         0.005952055878538642       0.0018958219694984457     
Lambda        AB|SDSS|SDSS_z            7464.696054882375     All      -1.4120102387263852e-05    -1.1484465121690066e-06    -2.0330058770308773e-05    3.318057922984542e-06     
Lambda        AB|SDSS|SDSS_g            3962.234127258303     All      -0.001115605812344419      0.00038670065255913105     -0.0013720441912072083     0.000428122609351193      
Lambda        AB|SDSS|SDSS_u            3013.2257594339076    All      -1.7032439194122363e-05    3.2587279868530747e-05     0.00015401231060259418     2.3035637008211244e-05    
Lambda        AB|SDSS|SDSS_r            5177.4555207743915    All      0.00025256719222333527     0.0001108039681592703      -0.0006710399579228293     -7.612237729625166e-05    
Lambda        AB|SDSS|SDSS_i            6278.569746002503     All      -0.0003185738651344207     -1.0261768359429874e-05    -0.0003023042199387509     8.693694418351202e-05     
MWEBV         All|All|All               All                   All      -0.5862984159909996        -3.2123638372342           0.2907876193284986         -0.8424193867736796       
Redshift      All|All|All               All                   All      5.624133078734502          0.0438671052876316         -1.5747781992839247        -1.887951331188524        
