#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_u       3457.427087287462    All      -0.9377666054184917       0.16774911525125336       -0.30417195122669494      0.34652904343703184        
Zeropoint     VEGAHST|UVOT|UVOT_v       5384.337308662689    All      2.033995035009645         0.35128288347444636       0.26203157689595746       -0.536421441531092         
Zeropoint     VEGAHST|UVOT|UVOT_b       4333.793260058299    All      -0.14566886413771052      0.48358783044826215       0.20706815697980885       0.21421010817335717        
Check         All|All|All               All                  All      0.9505595654534427        1.0026198291739619        0.16492778264907137       0.02431771007929706        
Lambda        VEGAHST|UVOT|UVOT_u       3457.427087287462    All      0.00013397301809718636    7.910836108457906e-07     0.0002478970347992977     -3.23192315045071e-05      
Lambda        VEGAHST|UVOT|UVOT_v       5384.337308662689    All      0.00046608936829080247    3.8970481350717255e-05    0.00016422687511998232    -0.0001317979821005367     
Lambda        VEGAHST|UVOT|UVOT_b       4333.793260058299    All      0.00015478915600306242    -0.0001622519816919364    -0.0012723667690200588    -0.00016005061402304458    
MWEBV         All|All|All               All                  All      -1.4556884277777034       -3.9161411595699303       0.4415765323190657        -0.7817448686855099        
Redshift      All|All|All               All                  All      -0.6690778780012503       0.045008484798181314      -8.923564570056696        -0.16561628120466965       
