#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3590.6657519127684    All      -0.23635048004642972       0.08123245038280658        -0.07395089743531165       0.10014711970052072        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5367.3000548562095    All      0.5897367434754567         0.13034888604677164        0.09527140572540317        -0.14538621330433382       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4393.73435004896      All      -0.29651077118595015       0.2224821335673255         -0.02082010923777785       0.16812395758557008        
Zeropoint     VEGAHST|UVOT|UVOT_u                      3470.102640172459     All      -0.17444348330159554       0.06069391842853378        -0.027826556001948         0.0753502161426262         
Zeropoint     VEGAHST|UVOT|UVOT_v                      5404.077262849303     All      0.4724756843145147         0.09244934213326061        0.03847110805923662        -0.1220702932824556        
Zeropoint     VEGAHST|UVOT|UVOT_b                      4349.681729800002     All      -0.3200288472384622        0.18243500980936744        -0.21602130109275142       0.1540289702925481         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4799.743180416273     All      -0.016315362079786955      0.2886656777917107         0.26101057213428985        0.1109900613204871         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7596.396162907528     All      0.191128563608471          -0.019991341582592526      0.007620460356258526       -0.06842863261311274       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6213.042787168407     All      0.7840773694305325         -0.04099505528460945       -0.06414778168120507       -0.2716158536825626        
Check         All|All|All                              All                   All      0.9937694169767501         0.9973210212925743         -0.00039309917380581094    0.0011393321592875205      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3590.6657519127684    All      -0.00036285688791658525    7.70371880692164e-05       -0.00030804774862578494    0.00012954121642477822     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5367.3000548562095    All      0.0001034927790263371      -2.6612437894000295e-05    -0.0007352535599837089     -7.519053897006694e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4393.73435004896      All      -0.00014968807526472084    3.1423421865430014e-05     -0.00036325397141253875    4.2783616627567766e-05     
Lambda        VEGAHST|UVOT|UVOT_u                      3470.102640172459     All      -3.861071698947849e-05     -3.1530720074614052e-06    -2.840637198669488e-05     1.0282075576495077e-05     
Lambda        VEGAHST|UVOT|UVOT_v                      5404.077262849303     All      0.00017037757747421763     -4.4027202357579065e-06    -0.0004862863345641908     -7.863241874438751e-05     
Lambda        VEGAHST|UVOT|UVOT_b                      4349.681729800002     All      -0.00014021108418726594    -1.415629358803544e-06     -0.0003955660128917679     2.7557951486088012e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4799.743180416273     All      -8.802158567122753e-05     -5.836053289060501e-05     -0.0006353241268584208     -1.8690017133218613e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7596.396162907528     All      -5.111420118837356e-05     1.998837788985072e-06      -3.498250386453654e-05     1.573955568336063e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6213.042787168407     All      -0.0001922500212844642     -1.468830363388588e-05     -0.00032995185003266875    4.311345739286733e-05      
MWEBV         All|All|All                              All                   All      -1.2089000264323784        -3.990233684291322         -0.04941210787091528       -0.908176910956762         
Redshift      All|All|All                              All                   All      4.452315647565833          0.553423477325854          2.899477444723507          -1.1406070880497912        
