#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3590.6657519127684    All      -0.29612600650078974       0.09671629886907063        -0.11993954923563699       0.12260931176696355        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5367.3000548562095    All      0.6036701978750156         0.11624314456772922        0.07013043477561709        -0.15564142792932473       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4393.73435004896      All      -0.25095723979373696       0.215776897691633          -0.0006567781913879855     0.15200135468180775        
Zeropoint     VEGAHST|UVOT|UVOT_u                      3470.102640172459     All      -0.21434261481677314       0.07599391628501095        -0.029502823662408417      0.09325558444952253        
Zeropoint     VEGAHST|UVOT|UVOT_v                      5404.077262849303     All      0.538389608745138          0.09016365591181241        0.038053725314490805       -0.14430377604730954       
Zeropoint     VEGAHST|UVOT|UVOT_b                      4349.681729800002     All      -0.280846153021643         0.17946494807663527        -0.22689806325173478       0.13981305095530638        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4799.743180416273     All      0.038048435909511846       0.25653045027262955        0.23356986777187672        0.08158993037389733        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7596.396162907528     All      0.13958960073573148        -0.011218202631191332      0.019738125168267118       -0.04824224111363851       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6213.042787168407     All      0.7386812448790411         -0.033872793516209754      0.02777446535620065        -0.2504068197529158        
Check         All|All|All                              All                   All      1.0161070740114952         0.9857983155271199         0.012269404045284205       -0.009325032615691009      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3590.6657519127684    All      -0.0002838945861782896     0.000132206440869165       0.0004134725773788657      0.00015398917594409094     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5367.3000548562095    All      9.995349440977824e-05      1.7418563001539578e-07     -0.0004821303725149028     -5.4016667691955875e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4393.73435004896      All      -0.00012643006949910463    3.911021426374386e-05      -0.000264408411144741      4.2122583529647875e-05     
Lambda        VEGAHST|UVOT|UVOT_u                      3470.102640172459     All      1.0295962184337318e-05     -2.0033980375455337e-05    -2.4980748733727855e-05    -1.0994236200753541e-05    
Lambda        VEGAHST|UVOT|UVOT_v                      5404.077262849303     All      0.00036081536973291367     -1.9424198292701482e-05    -0.0006449755784047021     -0.0001526388346146773     
Lambda        VEGAHST|UVOT|UVOT_b                      4349.681729800002     All      -0.00012104357351869011    -3.623788512306126e-05     -0.0006166341451090603     1.0645293670604853e-07     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4799.743180416273     All      -1.9227189023579687e-05    1.5050875743452549e-06     -0.00028194562555074534    -5.828753779324812e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7596.396162907528     All      -2.6944821429208366e-05    -6.150666628806907e-07     -1.744777710610102e-05     7.797853193091804e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6213.042787168407     All      -4.303235260636136e-05     9.553394347433893e-06      3.419960901068353e-05      1.865507927956316e-05      
MWEBV         All|All|All                              All                   All      -1.2906929475361713        -3.973776641763349         -0.07227930564672747       -0.8771941234855959        
Redshift      All|All|All                              All                   All      3.6737100165122114         0.3466507386025164         4.576157885535936          -0.8795197549157238        
