#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3719.1282548668164    All      -0.5538922484904205        0.4031834068131346         1.0011763904793858        0.35642893185642704       
Zeropoint     AB|PS|PS_r                4723.040407249609     All      -0.19454233222158013       0.5357560445391485         -0.648196321922323        0.20895618262455062       
Zeropoint     AB|PS|PS_i                5720.624833689952     All      0.9298235724202976         0.014467209432034167       -1.2081256084532477       -0.3520747789401819       
Zeropoint     AB|PS|PS_z                6574.393805413871     All      0.8128161632029351         0.046138886925817246       0.8597351360734695        -0.2113659813143494       
Check         All|All|All               All                   All      0.9942051549112324         0.9995455477101345         0.004589596177284605      0.0019443542264463154     
Lambda        AB|PS|PS_g                3719.1282548668164    All      -0.0010963177128717545     0.00048239943570879435     -0.0007392956839062611    0.0004812487426336779     
Lambda        AB|PS|PS_r                4723.040407249609     All      -0.00022686723082122076    -3.0952407747892055e-05    -0.0014128466120506336    7.670479551765078e-07     
Lambda        AB|PS|PS_i                5720.624833689952     All      -0.0003819349580433954     -6.504338858672772e-05     7.105240431941769e-05     0.00010639275206789183    
Lambda        AB|PS|PS_z                6574.393805413871     All      -0.0004765556489898631     -1.737213360575624e-05     -0.0004303823843175576    0.00013036518851224804    
MWEBV         All|All|All               All                   All      -0.48027913587761883       -2.8228155755604334        0.07610103986175343       -0.7596451456748387       
Redshift      All|All|All               All                   All      5.39693547442135           0.3391329075244087         3.110102108637647         -1.5087031198741316       
