#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                6589.5615731340995    All      0.9735709335825248         -0.1170198238613196        -0.06316277723757797      -0.35805995372162625      
Zeropoint     AB|PS|PS_r                5440.448636429223     All      0.6140333363678585         0.38768513363347523        0.05212853470904185       -0.07140279917890702      
Zeropoint     AB|PS|PS_z                7573.014145530331     All      0.3785851112083781         -0.049208779603127084      0.11418302621756427       -0.13425108020185633      
Zeropoint     AB|PS|PS_g                4284.04682116162      All      -0.9686058468003639        0.7771188323768996         -0.10285438679202771      0.5640500417546436        
Check         All|All|All               All                   All      0.9975835343583977         0.9985753625459282         0.0002943968970004207     0.00033620865225392205    
Lambda        AB|PS|PS_i                6589.5615731340995    All      -0.0003616903567730217     2.7690192269267213e-05     -0.0003438563470197115    0.00011148932557022424    
Lambda        AB|PS|PS_r                5440.448636429223     All      0.00011659146575933776     5.332930757368016e-05      -0.0005727485309581911    -4.616570258206183e-05    
Lambda        AB|PS|PS_z                7573.014145530331     All      -1.4477591987529617e-05    -1.2229378598767889e-05    -6.065949445301819e-05    -1.97463757371393e-06     
Lambda        AB|PS|PS_g                4284.04682116162      All      -0.0005549805130864333     0.00027415854119490566     -0.0008478194766658183    0.00023224357849450225    
MWEBV         All|All|All               All                   All      -0.5699527281317622        -3.492505897685483         0.023144605395057496      -0.9509388790275564       
Redshift      All|All|All               All                   All      4.233714236346882          0.5906507595428323         1.1204498820578275        -1.136665095427403        
